"sex","age","deaths","nb_c","orphans"
"Female","00-04",1693,0,0
"Male","00-04",3180,0,0
"Female","05-19",4233,0.036654293103835,155
"Male","05-19",0,0.00418597070763956,0
"Female","20-29",3387,1.11125227538969,3764
"Male","20-29",6361,0.598561684687557,3807
"Female","30-39",4233,1.93715588997196,8200
"Male","30-39",15613,1.92679584651023,30083
"Female","40-49",26248,0.910748878523769,23905
"Male","40-49",36720,1.67713808614575,61585
"Female","50-59",37255,0.158433998639019,5902
"Male","50-59",80668,0.542711445809881,43779
"Female","60-69",51648,0.010088339285532,521
"Male","60-69",94835,0.108866558492396,10324
"Female","70-79",28788,0,0
"Male","70-79",39322,0.0216034055347874,849
"Female","80+",11854,0,0
"Male","80+",12433,0.00312576567474706,39
