"gender","age","deaths","child_age","nb_c","orphans"
"Female","0-4",1693,0,0,0
"Female","0-4",1693,1,0,0
"Female","0-4",1693,2,0,0
"Female","0-4",1693,3,0,0
"Female","0-4",1693,4,0,0
"Female","0-4",1693,5,0,0
"Female","0-4",1693,6,0,0
"Female","0-4",1693,7,0,0
"Female","0-4",1693,8,0,0
"Female","0-4",1693,9,0,0
"Female","0-4",1693,10,0,0
"Female","0-4",1693,11,0,0
"Female","0-4",1693,12,0,0
"Female","0-4",1693,13,0,0
"Female","0-4",1693,14,0,0
"Female","0-4",1693,15,0,0
"Female","0-4",1693,16,0,0
"Female","0-4",1693,17,0,0
"Male","0-4",3180,0,0,0
"Male","0-4",3180,1,0,0
"Male","0-4",3180,2,0,0
"Male","0-4",3180,3,0,0
"Male","0-4",3180,4,0,0
"Male","0-4",3180,5,0,0
"Male","0-4",3180,6,0,0
"Male","0-4",3180,7,0,0
"Male","0-4",3180,8,0,0
"Male","0-4",3180,9,0,0
"Male","0-4",3180,10,0,0
"Male","0-4",3180,11,0,0
"Male","0-4",3180,12,0,0
"Male","0-4",3180,13,0,0
"Male","0-4",3180,14,0,0
"Male","0-4",3180,15,0,0
"Male","0-4",3180,16,0,0
"Male","0-4",3180,17,0,0
"Female","05-19",4233,0,0.0122180977012783,52
"Female","05-19",4233,1,0.00977447816102267,41
"Female","05-19",4233,2,0.007330858620767,31
"Female","05-19",4233,3,0.00488723908051133,21
"Female","05-19",4233,4,0.00244361954025567,10
"Female","05-19",4233,5,0,0
"Female","05-19",4233,6,0,0
"Female","05-19",4233,7,0,0
"Female","05-19",4233,8,0,0
"Female","05-19",4233,9,0,0
"Female","05-19",4233,10,0,0
"Female","05-19",4233,11,0,0
"Female","05-19",4233,12,0,0
"Female","05-19",4233,13,0,0
"Female","05-19",4233,14,0,0
"Female","05-19",4233,15,0,0
"Female","05-19",4233,16,0,0
"Female","05-19",4233,17,0,0
"Male","05-19",0,0,0.00139532356921319,0
"Male","05-19",0,1,0.00111625885537055,0
"Male","05-19",0,2,0.000837194141527912,0
"Male","05-19",0,3,0.000558129427685275,0
"Male","05-19",0,4,0.000279064713842637,0
"Male","05-19",0,5,0,0
"Male","05-19",0,6,0,0
"Male","05-19",0,7,0,0
"Male","05-19",0,8,0,0
"Male","05-19",0,9,0,0
"Male","05-19",0,10,0,0
"Male","05-19",0,11,0,0
"Male","05-19",0,12,0,0
"Male","05-19",0,13,0,0
"Male","05-19",0,14,0,0
"Male","05-19",0,15,0,0
"Male","05-19",0,16,0,0
"Male","05-19",0,17,0,0
"Female","20-29",3387,0,0.157203001531727,532
"Female","20-29",3387,1,0.146716075317906,497
"Female","20-29",3387,2,0.136229149104086,461
"Female","20-29",3387,3,0.125742222890266,426
"Female","20-29",3387,4,0.115255296676445,390
"Female","20-29",3387,5,0.104768370462625,355
"Female","20-29",3387,6,0.0874801256804835,296
"Female","20-29",3387,7,0.070191880898342,238
"Female","20-29",3387,8,0.0529036361162005,179
"Female","20-29",3387,9,0.035615391334059,121
"Female","20-29",3387,10,0.0263747181285287,89
"Female","20-29",3387,11,0.0210997745028229,71
"Female","20-29",3387,12,0.0158248308771172,54
"Female","20-29",3387,13,0.0105498872514115,36
"Female","20-29",3387,14,0.0052979146176682,18
"Female","20-29",3387,15,0,0
"Female","20-29",3387,16,0,0
"Female","20-29",3387,17,0,0
"Male","20-29",6361,0,0.125232695475255,797
"Male","20-29",6361,1,0.1085125210346,690
"Male","20-29",6361,2,0.0917923465939443,584
"Male","20-29",6361,3,0.075072172153289,478
"Male","20-29",6361,4,0.0583519977126336,371
"Male","20-29",6361,5,0.0416318232719783,265
"Male","20-29",6361,6,0.0337240556883466,215
"Male","20-29",6361,7,0.0258162881047149,164
"Male","20-29",6361,8,0.0179085205210832,114
"Male","20-29",6361,9,0.0100007529374515,64
"Male","20-29",6361,10,0.00358069582333045,23
"Male","20-29",6361,11,0.00286455665866436,18
"Male","20-29",6361,12,0.00214841749399827,14
"Male","20-29",6361,13,0.00143227832933218,9
"Male","20-29",6361,14,0.000492562888935948,3
"Male","20-29",6361,15,0,0
"Male","20-29",6361,16,0,0
"Male","20-29",6361,17,0,0
"Female","30-39",4233,0,0.0448437093850165,190
"Female","30-39",4233,1,0.0565693323975368,239
"Female","30-39",4233,2,0.0682949554100572,289
"Female","30-39",4233,3,0.0800205784225775,339
"Female","30-39",4233,4,0.0917462014350979,388
"Female","30-39",4233,5,0.103471824447618,438
"Female","30-39",4233,6,0.11421805986444,483
"Female","30-39",4233,7,0.124964295281262,529
"Female","30-39",4233,8,0.135710530698083,574
"Female","30-39",4233,9,0.146456766114905,620
"Female","30-39",4233,10,0.150623737704141,638
"Female","30-39",4233,11,0.142415526339633,603
"Female","30-39",4233,12,0.134207314975124,568
"Female","30-39",4233,13,0.125999103610616,533
"Female","30-39",4233,14,0.12499358761594,529
"Female","30-39",4233,15,0.115302759340377,488
"Female","30-39",4233,16,0.0975401220899698,413
"Female","30-39",4233,17,0.0797774848395626,338
"Male","30-39",15613,0,0.108147573582006,1689
"Male","30-39",15613,1,0.117877158724539,1840
"Male","30-39",15613,2,0.127606743867072,1992
"Male","30-39",15613,3,0.137336329009605,2144
"Male","30-39",15613,4,0.147065914152138,2296
"Male","30-39",15613,5,0.156795499294671,2448
"Male","30-39",15613,6,0.150482938530787,2349
"Male","30-39",15613,7,0.144170377766904,2251
"Male","30-39",15613,8,0.137857817003021,2152
"Male","30-39",15613,9,0.131545256239138,2054
"Male","30-39",15613,10,0.125363751989244,1957
"Male","30-39",15613,11,0.109458746559264,1709
"Male","30-39",15613,12,0.0935537411292849,1461
"Male","30-39",15613,13,0.0776487356993053,1212
"Male","30-39",15613,14,0.0594002823012532,927
"Male","30-39",15613,15,0.0420863716646624,657
"Male","30-39",15613,16,0.0341616602206659,533
