sex,age,deaths
Female,0-4,1664
Male,0-4,3126
Female,20-29,3329
Male,20-29,6252
Female,30-39,4161
Male,30-39,15346
Female,40-49,25798
Male,40-49,36091
Female,5-19,4161
Male,5-19,0
Female,50-59,36617
Male,50-59,79287
Female,60-69,50764
Male,60-69,93211
Female,70-79,28295
Male,70-79,38649
Female,80+,11651
Male,80+,12220
