"","sex","age","deaths"
"1","Female","0-4",783
"2","Male","0-4",1531
"3","Female","20-29",1564
"4","Male","20-29",2909
"5","Female","30-39",1927
"6","Male","30-39",7250
"7","Female","40-49",12020
"8","Male","40-49",17029
"9","Female","5-19",1934
"10","Male","5-19",0
"11","Female","50-59",17164
"12","Male","50-59",37494
"13","Female","60-69",23715
"14","Male","60-69",43904
"15","Female","70-79",13387
"16","Male","70-79",17937
"17","Female","80+",5473
"18","Male","80+",5696
