"","age","gender","COVID19_deaths","excess_deaths","death"
"1","0-9","Female",0,-165.8,0
"2","10-19","Female",1,47.6,63
"3","20-29","Female",0,130,135
"4","30-39","Female",14,795.4,768
"5","40-49","Female",23,-1.00000000000002,23
"6","50-59","Female",62,-997.8,57
"7","60-69","Female",165,17201,17276
"8","70-79","Female",325,-3321.4,315
"9","80-89","Female",513,-73735,481
"10","90+","Female",201,-88137.6,188
"11","0-9","Male",0,-118,0
"12","10-19","Male",1,-77,0
"13","20-29","Male",1,1344.8,1449
"14","30-39","Male",13,5492.8,5440
"15","40-49","Male",45,8055.4,7992
"16","50-59","Male",115,11740.2,11714
"17","60-69","Male",379,43317.8,43456
"18","70-79","Male",512,-13348.2,514
"19","80-89","Male",449,-86174,441
"20","90+","Male",101,-42936.8,97
