"age","gender","death"
"0-9","Female",0
"10-19","Female",23.1171232876712
"20-29","Female",0
"30-39","Female",323.639726027397
"40-49","Female",531.693835616438
"50-59","Female",1433.26164383562
"60-69","Female",3814.32534246575
"70-79","Female",7513.06506849315
"80-89","Female",11859.0842465753
"90+","Female",4646.54178082192
"0-9","Male",0
"10-19","Male",23.1171232876712
"20-29","Male",23.1171232876712
"30-39","Male",300.522602739726
"40-49","Male",1040.27054794521
"50-59","Male",2658.46917808219
"60-69","Male",8761.3897260274
"70-79","Male",11835.9671232877
"80-89","Male",10379.5883561644
"90+","Male",2334.82945205479
