"","age","gender","death"
"1","0-9","Female",0
"2","10-19","Female",34
"3","20-29","Female",0
"4","30-39","Female",332
"5","40-49","Female",509
"6","50-59","Female",1435
"7","60-69","Female",3780
"8","70-79","Female",7562
"9","80-89","Female",11803
"10","90+","Female",4553
"11","0-9","Male",0
"12","10-19","Male",18
"13","20-29","Male",16
"14","30-39","Male",288
"15","40-49","Male",1017
"16","50-59","Male",2646
"17","60-69","Male",8823
"18","70-79","Male",11847
"19","80-89","Male",10344
"20","90+","Male",2319
