country,date,age,gender,COVID19_deaths
Poland,2020/10/09,0-9,Female,0
Poland,2020/10/09,10-19,Female,1
Poland,2020/10/09,20-29,Female,0
Poland,2020/10/09,30-39,Female,14
Poland,2020/10/09,40-49,Female,23
Poland,2020/10/09,50-59,Female,62
Poland,2020/10/09,60-69,Female,165
Poland,2020/10/09,70-79,Female,325
Poland,2020/10/09,80-89,Female,513
Poland,2020/10/09,90+,Female,201
Poland,2020/10/09,0-9,Male,0
Poland,2020/10/09,10-19,Male,1
Poland,2020/10/09,20-29,Male,1
Poland,2020/10/09,30-39,Male,13
Poland,2020/10/09,40-49,Male,45
Poland,2020/10/09,50-59,Male,115
Poland,2020/10/09,60-69,Male,379
Poland,2020/10/09,70-79,Male,512
Poland,2020/10/09,80-89,Male,449
Poland,2020/10/09,90+,Male,101
