"","age","gender","deaths"
"1","0-4","Male",175
"2","0-4","Female",147
"3","10-14","Male",0
"4","10-14","Female",0
"5","15-19","Male",101
"6","15-19","Female",127
"7","20-24","Male",412
"8","20-24","Female",313
"9","25-29","Male",981
"10","25-29","Female",602
"11","30-34","Male",2034
"12","30-34","Female",993
"13","35-39","Male",3523
"14","35-39","Female",1532
"15","40-44","Male",5877
"16","40-44","Female",2542
"17","45-49","Male",9603
"18","45-49","Female",4612
"19","5-9","Male",0
"20","5-9","Female",0
"21","50-54","Male",12818
"22","50-54","Female",6631
"23","55-59","Male",15978
"24","55-59","Female",9471
"25","60-64","Male",18555
"26","60-64","Female",11695
"27","65-69","Male",19138
"28","65-69","Female",12276
"29","70-74","Male",17282
"30","70-74","Female",11177
"31","75-79","Male",13323
"32","75-79","Female",8843
"33","80+","Male",15797
"34","80+","Female",11008
