age,gender,deaths,nb_c,orphans
00-04,Female,143,0,0
00-04,Male,179,0,0
05-09,Female,0,0,0
05-09,Male,0,0,0
10-14,Female,0,0,0
10-14,Male,0,0,0
15-19,Female,119,0.17824893433810068,21
15-19,Male,108,0.06527305046328692,7
20-24,Female,296,0.661430917470658,196
20-24,Male,417,0.36174962804352756,151
25-29,Female,591,1.2989436467090072,768
25-29,Male,993,0.85472311947519,849
30-34,Female,1011,1.8032617643120015,1823
30-34,Male,2065,1.3708412064683833,2831
35-39,Female,1519,1.8018709901454115,2737
35-39,Male,3524,1.6549235330534537,5832
40-44,Female,2548,1.3323668045608679,3395
40-44,Male,5859,1.469800913300507,8612
45-49,Female,4584,0.749317088238259,3435
45-49,Male,9615,1.041309476687589,10012
50-54,Female,6595,0.32597774300695065,2150
50-54,Male,12728,0.5968931656196592,7597
55-59,Female,9420,0.08648461654506759,815
55-59,Male,16063,0.29736833169669513,4777
60-64,Female,11570,0.016145585472236112,187
60-64,Male,18567,0.14096413165687205,2617
65-69,Female,12116,0.0014732208746064271,18
65-69,Male,19050,0.07054083165009031,1344
70-74,Female,11121,0,0
70-74,Male,17104,0.04201179545065997,719
75-79,Female,8929,0,0
75-79,Male,13312,0.01324647459508211,176
80+,Female,10913,0,0
80+,Male,15850,0.007162368747155376,114
