"","age","gender","deaths"
"1","0-4","Male",277
"2","0-4","Female",201
"3","10-14","Male",77
"4","10-14","Female",74
"5","15-19","Male",204
"6","15-19","Female",202
"7","20-24","Male",671
"8","20-24","Female",458
"9","25-29","Male",1722
"10","25-29","Female",1061
"11","30-34","Male",3279
"12","30-34","Female",1678
"13","35-39","Male",5662
"14","35-39","Female",2534
"15","40-44","Male",8405
"16","40-44","Female",3787
"17","45-49","Male",13001
"18","45-49","Female",6579
"19","5-9","Male",53
"20","5-9","Female",33
"21","50-54","Male",16468
"22","50-54","Female",8675
"23","55-59","Male",20580
"24","55-59","Female",12497
"25","60-64","Male",22779
"26","60-64","Female",14800
"27","65-69","Male",23110
"28","65-69","Female",15263
"29","70-74","Male",20859
"30","70-74","Female",13809
"31","75-79","Male",16583
"32","75-79","Female",11001
"33","80+","Male",20404
"34","80+","Female",14352
