Period,age,fertility_rate,country,gender,date
2000-2005,15-19,7.927,France,Female,2003
2000-2005,15-19,7.927,France,Female,2004
2005-2010,15-19,7.248,France,Female,2005
2005-2010,15-19,7.248,France,Female,2006
2005-2010,15-19,7.248,France,Female,2007
2005-2010,15-19,7.248,France,Female,2008
2005-2010,15-19,7.248,France,Female,2009
2010-2015,15-19,6.648,France,Female,2010
2010-2015,15-19,6.648,France,Female,2011
2010-2015,15-19,6.648,France,Female,2012
2010-2015,15-19,6.648,France,Female,2013
2010-2015,15-19,6.648,France,Female,2014
2015-2020,15-19,4.727,France,Female,2015
2015-2020,15-19,4.727,France,Female,2016
2015-2020,15-19,4.727,France,Female,2017
2015-2020,15-19,4.727,France,Female,2018
2015-2020,15-19,4.727,France,Female,2019
2000-2005,20-24,55.696,France,Female,2003
2000-2005,20-24,55.696,France,Female,2004
2005-2010,20-24,54.789,France,Female,2005
2005-2010,20-24,54.789,France,Female,2006
2005-2010,20-24,54.789,France,Female,2007
2005-2010,20-24,54.789,France,Female,2008
2005-2010,20-24,54.789,France,Female,2009
2010-2015,20-24,50.326,France,Female,2010
2010-2015,20-24,50.326,France,Female,2011
2010-2015,20-24,50.326,France,Female,2012
2010-2015,20-24,50.326,France,Female,2013
2010-2015,20-24,50.326,France,Female,2014
2015-2020,20-24,41.036,France,Female,2015
2015-2020,20-24,41.036,France,Female,2016
2015-2020,20-24,41.036,France,Female,2017
2015-2020,20-24,41.036,France,Female,2018
2015-2020,20-24,41.036,France,Female,2019
2000-2005,25-29,129.671,France,Female,2003
2000-2005,25-29,129.671,France,Female,2004
2005-2010,25-29,128.805,France,Female,2005
2005-2010,25-29,128.805,France,Female,2006
2005-2010,25-29,128.805,France,Female,2007
2005-2010,25-29,128.805,France,Female,2008
2005-2010,25-29,128.805,France,Female,2009
2010-2015,25-29,123.96,France,Female,2010
2010-2015,25-29,123.96,France,Female,2011
2010-2015,25-29,123.96,France,Female,2012
2010-2015,25-29,123.96,France,Female,2013
2010-2015,25-29,123.96,France,Female,2014
2015-2020,25-29,109.034,France,Female,2015
2015-2020,25-29,109.034,France,Female,2016
2015-2020,25-29,109.034,France,Female,2017
2015-2020,25-29,109.034,France,Female,2018
2015-2020,25-29,109.034,France,Female,2019
2000-2005,30-34,118.529,France,Female,2003
2000-2005,30-34,118.529,France,Female,2004
2005-2010,30-34,129.001,France,Female,2005
2005-2010,30-34,129.001,France,Female,2006
2005-2010,30-34,129.001,France,Female,2007
2005-2010,30-34,129.001,France,Female,2008
2005-2010,30-34,129.001,France,Female,2009
2010-2015,30-34,131.146,France,Female,2010
2010-2015,30-34,131.146,France,Female,2011
2010-2015,30-34,131.146,France,Female,2012
2010-2015,30-34,131.146,France,Female,2013
2010-2015,30-34,131.146,France,Female,2014
2015-2020,30-34,127.334,France,Female,2015
2015-2020,30-34,127.334,France,Female,2016
2015-2020,30-34,127.334,France,Female,2017
2015-2020,30-34,127.334,France,Female,2018
2015-2020,30-34,127.334,France,Female,2019
2000-2005,35-39,52.396,France,Female,2003
2000-2005,35-39,52.396,France,Female,2004
2005-2010,35-39,60.84,France,Female,2005
2005-2010,35-39,60.84,France,Female,2006
2005-2010,35-39,60.84,France,Female,2007
2005-2010,35-39,60.84,France,Female,2008
2005-2010,35-39,60.84,France,Female,2009
2010-2015,35-39,66.934,France,Female,2010
2010-2015,35-39,66.934,France,Female,2011
2010-2015,35-39,66.934,France,Female,2012
2010-2015,35-39,66.934,France,Female,2013
2010-2015,35-39,66.934,France,Female,2014
2015-2020,35-39,68.969,France,Female,2015
2015-2020,35-39,68.969,France,Female,2016
2015-2020,35-39,68.969,France,Female,2017
2015-2020,35-39,68.969,France,Female,2018
2015-2020,35-39,68.969,France,Female,2019
2000-2005,40-44,11.578,France,Female,2003
2000-2005,40-44,11.578,France,Female,2004
2005-2010,40-44,13.958,France,Female,2005
2005-2010,40-44,13.958,France,Female,2006
2005-2010,40-44,13.958,France,Female,2007
2005-2010,40-44,13.958,France,Female,2008
2005-2010,40-44,13.958,France,Female,2009
2010-2015,40-44,16.128,France,Female,2010
2010-2015,40-44,16.128,France,Female,2011
2010-2015,40-44,16.128,France,Female,2012
2010-2015,40-44,16.128,France,Female,2013
2010-2015,40-44,16.128,France,Female,2014
2015-2020,40-44,18.152,France,Female,2015
2015-2020,40-44,18.152,France,Female,2016
2015-2020,40-44,18.152,France,Female,2017
2015-2020,40-44,18.152,France,Female,2018
2015-2020,40-44,18.152,France,Female,2019
2000-2005,45-49,0.583,France,Female,2003
2000-2005,45-49,0.583,France,Female,2004
2005-2010,45-49,0.779,France,Female,2005
2005-2010,45-49,0.779,France,Female,2006
2005-2010,45-49,0.779,France,Female,2007
2005-2010,45-49,0.779,France,Female,2008
2005-2010,45-49,0.779,France,Female,2009
2010-2015,45-49,1.038,France,Female,2010
2010-2015,45-49,1.038,France,Female,2011
2010-2015,45-49,1.038,France,Female,2012
2010-2015,45-49,1.038,France,Female,2013
2010-2015,45-49,1.038,France,Female,2014
2015-2020,45-49,1.208,France,Female,2015
2015-2020,45-49,1.208,France,Female,2016
2015-2020,45-49,1.208,France,Female,2017
2015-2020,45-49,1.208,France,Female,2018
2015-2020,45-49,1.208,France,Female,2019
