age,gender,covid_deaths,excess_deaths,deaths
0-9,Male,4,-367.59999999999997,4
10-19,Male,4,-53.6,4
20-29,Male,49,-248.6,49
30-39,Male,187,-107.80000000000001,187
40-49,Male,583,-603.8,583
50-59,Male,2349,-876.4,2349
60-69,Male,7681,1264.6,7681
70-79,Male,15857,17770.6,17770.6
80-89,Male,23520,12367,23520
90+,Male,10279,15547.6,15547.6
0-9,Female,1,-257.8,1
10-19,Female,8,-43.800000000000004,8
20-29,Female,50,-91,50
30-39,Female,122,-40.4,122
40-49,Female,402,-398.40000000000003,402
50-59,Female,1243,-319.79999999999995,1243
60-69,Female,3467,1570.8,3467
70-79,Female,7623,9000.2,9000.2
80-89,Female,17655,5279.000000000001,17655
90+,Female,13590,25269.2,25269.2
