"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",8,0,6,0,6
"2","10-19","Male",11,0,20,0,20
"3","20-29","Male",60,0,59,0,59
"4","30-39","Male",255,0,251,0,251
"5","40-49","Male",772,0,781,0,781
"6","50-59","Male",2962,0,2974,0,2974
"7","60-69","Male",9150,1614.6,9279,1653,9279
"8","70-79","Male",18100,23281.4,23124,23124,17941
"9","80-89","Male",25507,12571.6,25410,12606,25410
"10","90+","Male",11185,18507.4,18594,18594,11222
"11","0-9","Female",5,0,6,0,6
"12","10-19","Female",8,0,6,0,6
"13","20-29","Female",69,0,55,0,55
"14","30-39","Female",168,0,172,0,172
"15","40-49","Female",511,0,509,0,509
"16","50-59","Female",1604,0,1622,0,1622
"17","60-69","Female",4324,2325.4,4389,2308,4389
"18","70-79","Female",8962,12350.4,12187,12187,9022
"19","80-89","Female",19484,3844.6,19470,3900,19470
"20","90+","Female",14771,30404.6,30512,30512,14754
