age,gender,excess,covid19_deaths,nb_deaths,nb_orphans
0-14,female,-189,15,20,0
0-14,male,-245,8,8,0
15-44,female,847,1002,1067,1408
15-44,male,1191,1513,1626,2050
45-64,female,5043,8272,8272,1536
45-64,male,10581,14729,14729,4725
65+,female,34990,88692,88692,1
65+,male,52901,100685,100685,703
