week_nb,gender,age,year,covid19_deaths,week,value_20,value_pre,excess_deaths
week-13,male,65-69,2021,24,Week 13,298,428,-130
week-13,male,70-74,2020,38,Week 13,666,572,94
week-13,male,70-74,2021,20,Week 13,477,572,-95
week-13,male,75-79,2020,63,Week 13,788,716,72
week-13,male,75-79,2021,24,Week 13,567,716,-149
week-13,male,80-84,2020,55,Week 13,1005,855,150
week-13,male,80-84,2021,36,Week 13,660,855,-195
week-13,male,85-89,2020,59,Week 13,984,859,125
week-13,male,85-89,2021,30,Week 13,628,859,-231
week-13,male,90+,2020,42,Week 13,883,741,142
week-13,male,90+,2021,24,Week 13,618,741,-123
week-13,male,all-ages,2020,0,Week 13,0,0,0
week-13,male,all-ages,2021,0,Week 13,0,0,0
week-14,female,00-04,2020,0,Week 14,31,23,8
week-14,female,00-04,2021,0,Week 14,22,23,-1
week-14,female,05-09,2020,0,Week 14,3,2,1
week-14,female,05-09,2021,0,Week 14,1,2,-1
week-14,female,10-14,2020,0,Week 14,5,3,2
week-14,female,10-14,2021,0,Week 14,2,3,-1
week-14,female,15-19,2020,2,Week 14,2,4,-2
week-14,female,15-19,2021,0,Week 14,3,4,-1
week-14,female,20-24,2020,3,Week 14,8,7,1
week-14,female,20-24,2021,1,Week 14,9,7,2
week-14,female,25-29,2020,3,Week 14,10,10,0
week-14,female,25-29,2021,0,Week 14,12,10,2
week-14,female,30-34,2020,3,Week 14,15,17,-2
week-14,female,30-34,2021,0,Week 14,15,17,-2
week-14,female,35-39,2020,5,Week 14,31,23,8
week-14,female,35-39,2021,4,Week 14,37,23,14
week-14,female,40-44,2020,4,Week 14,39,37,2
week-14,female,40-44,2021,2,Week 14,36,37,-1
week-14,female,45-49,2020,24,Week 14,96,66,30
week-14,female,45-49,2021,3,Week 14,53,66,-13
week-14,female,50-54,2020,21,Week 14,132,100,32
week-14,female,50-54,2021,3,Week 14,76,100,-24
week-14,female,55-59,2020,51,Week 14,195,138,57
week-14,female,55-59,2021,7,Week 14,145,138,7
week-14,female,60-64,2020,51,Week 14,280,183,97
week-14,female,60-64,2021,13,Week 14,208,183,25
week-14,female,65-69,2020,71,Week 14,382,297,85
week-14,female,65-69,2021,13,Week 14,236,297,-61
week-14,female,70-74,2020,136,Week 14,651,418,233
week-14,female,70-74,2021,12,Week 14,381,418,-37
week-14,female,75-79,2020,197,Week 14,876,552,324
week-14,female,75-79,2021,17,Week 14,489,552,-63
week-14,female,80-84,2020,241,Week 14,1256,825,431
week-14,female,80-84,2021,27,Week 14,705,825,-120
week-14,female,85-89,2020,263,Week 14,1495,1045,450
week-14,female,85-89,2021,30,Week 14,904,1045,-141
week-14,female,90+,2020,274,Week 14,2086,1487,599
week-14,female,90+,2021,26,Week 14,1188,1487,-299
week-14,female,all-ages,2020,0,Week 14,0,0,0
week-14,female,all-ages,2021,0,Week 14,0,0,0
week-14,male,00-04,2020,0,Week 14,28,32,-4
week-14,male,00-04,2021,0,Week 14,26,32,-6
week-14,male,05-09,2020,0,Week 14,2,2,0
week-14,male,05-09,2021,0,Week 14,2,2,0
week-14,male,10-14,2020,0,Week 14,3,4,-1
week-14,male,10-14,2021,0,Week 14,2,4,-2
week-14,male,15-19,2020,1,Week 14,7,9,-2
week-14,male,15-19,2021,0,Week 14,10,9,1
week-14,male,20-24,2020,0,Week 14,12,15,-3
week-14,male,20-24,2021,0,Week 14,15,15,0
week-14,male,25-29,2020,2,Week 14,22,21,1
week-14,male,25-29,2021,0,Week 14,19,21,-2
week-14,male,30-34,2020,6,Week 14,39,31,8
week-14,male,30-34,2021,3,Week 14,27,31,-4
week-14,male,35-39,2020,7,Week 14,36,43,-7
week-14,male,35-39,2021,0,Week 14,57,43,14
week-14,male,40-44,2020,7,Week 14,67,59,8
