age,gender,max_deaths,nb_orphans
0-19,Female,0,0
0-19,Male,0,0
20-49,Female,2261,2778
20-49,Male,5245,6765
50-69,Female,11306,1092
50-69,Male,26224,6890
70+,Female,8050,0
70+,Male,18671,12
