"","age","gender","deaths"
"1","0-9","Female",0
"2","10-19","Female",0
"3","20-29","Female",134
"4","30-39","Female",1638
"5","40-49","Female",2118
"6","50-59","Female",8193
"7","60-69","Female",10864
"8","70-79","Female",8003
"9","80+","Female",5777
"10","0-9","Male",0
"11","10-19","Male",0
"12","20-29","Male",388
"13","30-39","Male",3907
"14","40-49","Male",4695
"15","50-59","Male",19170
"16","60-69","Male",25573
"17","70-79","Male",18527
"18","80+","Male",13176
