age,date,gender,fertility_rate
20-24,2003,Male,32.78323379783234
20-24,2004,Male,32.74888392857143
20-24,2005,Male,31.401730813026646
20-24,2006,Male,31.417994376757264
20-24,2007,Male,31.62965668371074
20-24,2008,Male,31.34643860097013
20-24,2009,Male,31.424845388545307
20-24,2010,Male,34.52580828133863
20-24,2011,Male,34.56454028152142
20-24,2012,Male,34.65592417061611
20-24,2013,Male,34.624169986719785
20-24,2014,Male,34.522869022869024
20-24,2015,Male,40.74964131994261
20-24,2016,Male,40.76691176470588
20-24,2017,Male,40.68171641791045
20-24,2018,Male,40.637659414853715
20-24,2019,Male,40.69783096484667
25-29,2003,Male,98.89225
25-29,2004,Male,99.28971962616822
25-29,2005,Male,88.45718264098399
25-29,2006,Male,88.3662645117232
25-29,2007,Male,88.39131413141314
25-29,2008,Male,88.39923698384202
25-29,2009,Male,88.33898305084746
25-29,2010,Male,85.89790756495746
25-29,2011,Male,85.92880794701986
25-29,2012,Male,86.02071005917159
25-29,2013,Male,86.04416731618602
25-29,2014,Male,86.22964796479648
25-29,2015,Male,89.28521536670547
25-29,2016,Male,89.63262802821221
25-29,2017,Male,89.33655705996132
25-29,2018,Male,89.57374282821465
25-29,2019,Male,89.50930804355463
30-34,2003,Male,112.14559260482007
30-34,2004,Male,112.28149544454917
30-34,2005,Male,104.60190987764847
30-34,2006,Male,104.54970263381479
30-34,2007,Male,104.47505364806867
30-34,2008,Male,104.57634463420851
30-34,2009,Male,104.78372434017595
30-34,2010,Male,104.26369456959924
30-34,2011,Male,104.36311039111317
30-34,2012,Male,104.35653960283041
30-34,2013,Male,104.44550625711035
30-34,2014,Male,104.47855996331117
30-34,2015,Male,111.18995327102803
30-34,2016,Male,110.74254807692307
30-34,2017,Male,110.95766533066133
30-34,2018,Male,111.38824459673168
30-34,2019,Male,111.23963261898135
35-39,2003,Male,80.76629766297663
35-39,2004,Male,81.03182179793158
35-39,2005,Male,82.28023032629558
35-39,2006,Male,82.14254062038405
35-39,2007,Male,82.25008843296781
35-39,2008,Male,82.08780817291455
35-39,2009,Male,81.994851994852
35-39,2010,Male,91.2038567493113
35-39,2011,Male,91.38877639571884
35-39,2012,Male,91.0204974036622
35-39,2013,Male,91.31891191709845
35-39,2014,Male,91.30351833498513
35-39,2015,Male,108.13227893601726
35-39,2016,Male,107.96233918128655
35-39,2017,Male,108.08740774907749
35-39,2018,Male,108.1288174512055
35-39,2019,Male,107.96950092421442
40-44,2003,Male,41.22489391796322
40-44,2004,Male,41.12210621879255
40-44,2005,Male,41.91040843214756
40-44,2006,Male,41.87328767123287
40-44,2007,Male,41.58015906236919
40-44,2008,Male,41.721015977058585
40-44,2009,Male,41.742
40-44,2010,Male,48.87417475728155
40-44,2011,Male,48.68759342301943
40-44,2012,Male,48.831541218637994
40-44,2013,Male,48.948990071893185
40-44,2014,Male,48.851514164767174
40-44,2015,Male,61.32386539055264
40-44,2016,Male,61.08498831775701
40-44,2017,Male,61.15494899365867
40-44,2018,Male,61.37467362924282
40-44,2019,Male,61.12440787833458
45-49,2003,Male,14.253164556962025
45-49,2004,Male,14.301275239107333
45-49,2005,Male,12.54326676907322
45-49,2006,Male,12.47172619047619
45-49,2007,Male,12.53326950694112
45-49,2008,Male,12.448291782086796
45-49,2009,Male,12.473637176050044
45-49,2010,Male,13.429130434782609
45-49,2011,Male,13.421543681085666
45-49,2012,Male,13.41081081081081
45-49,2013,Male,13.41724560686555
45-49,2014,Male,13.4144
45-49,2015,Male,15.395493395493396
45-49,2016,Male,15.5990990990991
45-49,2017,Male,15.664862914862915
45-49,2018,Male,15.433643571182351
45-49,2019,Male,15.605703048180924
50-54,2003,Male,3.5226683937823835
50-54,2004,Male,3.64449968924798
50-54,2005,Male,3.2625
50-54,2006,Male,3.208045977011494
50-54,2007,Male,3.150890868596882
50-54,2008,Male,3.2233639805300163
50-54,2009,Male,3.2866141732283465
50-54,2010,Male,3.5832061068702292
50-54,2011,Male,3.48834903321765
50-54,2012,Male,3.4899232245681384
50-54,2013,Male,3.503467406380028
50-54,2014,Male,3.5716829919857522
50-54,2015,Male,4.18448275862069
50-54,2016,Male,4.20353982300885
50-54,2017,Male,4.136514522821577
50-54,2018,Male,4.299877099549365
50-54,2019,Male,4.20353982300885
15-19,2003,Male,0
15-19,2004,Male,0
15-19,2005,Male,0
15-19,2006,Male,0
15-19,2007,Male,0
15-19,2008,Male,0
15-19,2009,Male,0
15-19,2010,Male,0
15-19,2011,Male,0
15-19,2012,Male,0
15-19,2013,Male,0
15-19,2014,Male,0
15-19,2015,Male,0
15-19,2016,Male,0
15-19,2017,Male,0
15-19,2018,Male,0
15-19,2019,Male,0
55+,2003,Male,0
55+,2004,Male,0
55+,2005,Male,0
55+,2006,Male,0
55+,2007,Male,0
55+,2008,Male,0
55+,2009,Male,0
55+,2010,Male,0
55+,2011,Male,0
55+,2012,Male,0
55+,2013,Male,0
55+,2014,Male,0
55+,2015,Male,0
55+,2016,Male,0
55+,2017,Male,0
55+,2018,Male,0
55+,2019,Male,0
20-24,2020,Male,40.69783096484667
25-29,2020,Male,89.50930804355463
30-34,2020,Male,111.23963261898135
35-39,2020,Male,107.96950092421442
40-44,2020,Male,61.12440787833458
45-49,2020,Male,15.605703048180924
50-54,2020,Male,4.20353982300885
15-19,2020,Male,0
55+,2020,Male,0
