"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",8,12,3
"2",2,"10-19","Male",8,17,5
"3",3,"20-29","Male",51,146.2,90
"4",4,"30-39","Male",126,167,32
"5",5,"40-49","Male",509,622,117
"6",6,"50-59","Male",1935,3175.6,1250
"7",7,"60-69","Male",6814,13678,6656
"8",8,"70-79","Male",15237.8,27756.6,12498
"9",9,"80+","Male",28691.2,48591.8,19871
"10",10,"0-9","Female",4,4,0
"11",11,"10-19","Female",14,57,45
"12",12,"20-29","Female",40,49,7
"13",13,"30-39","Female",84,118,34
"14",14,"40-49","Female",269,331,63
"15",15,"50-59","Female",1060.6,2064.4,1012
"16",16,"60-69","Female",3690.6,7821.6,4110
"17",17,"70-79","Female",8039.6,15184.6,7276
"18",18,"80+","Female",30680.8,59829.8,29150
