age,gender,nb_excess,nb_covid,max_deaths,nb_orphans
0-19,Female,-109,18,18,0
0-19,Male,-143,16,16,0
20-49,Female,63,393,393,363
20-49,Male,-178,686,686,579
50-69,Female,4751,2910,4751,255
50-69,Male,8245,7250,8749,1029
70+,Female,38720,31715,38720,0
70+,Male,43929,35226,43929,84
