Period,age,fertility_rate,country,gender,date
2000-2005,15-19,10.21750212404418,Spain,Female,2003
2000-2005,15-19,10.016521739130434,Spain,Female,2004
2005-2010,15-19,12.846495119787045,Spain,Female,2005
2005-2010,15-19,12.670818505338078,Spain,Female,2006
2005-2010,15-19,12.731729055258468,Spain,Female,2007
2005-2010,15-19,12.695807314897413,Spain,Female,2008
2005-2010,15-19,12.726947179946285,Spain,Female,2009
2010-2015,15-19,8.867686768676867,Spain,Female,2010
2010-2015,15-19,8.876018099547512,Spain,Female,2011
2010-2015,15-19,8.944595821980018,Spain,Female,2012
2010-2015,15-19,8.962625341841386,Spain,Female,2013
2010-2015,15-19,9.044871794871796,Spain,Female,2014
2015-2020,15-19,7.897790055248619,Spain,Female,2015
2015-2020,15-19,7.708872458410351,Spain,Female,2016
2015-2020,15-19,7.7502321262766944,Spain,Female,2017
2015-2020,15-19,7.617537313432836,Spain,Female,2018
2015-2020,15-19,7.750697674418604,Spain,Female,2019
2000-2005,20-24,28.484406104844062,Spain,Female,2003
2000-2005,20-24,28.430927835051545,Spain,Female,2004
2005-2010,20-24,35.88809693513899,Spain,Female,2005
2005-2010,20-24,36.06128334534968,Spain,Female,2006
2005-2010,20-24,36.45029239766082,Spain,Female,2007
2005-2010,20-24,36.22172619047619,Spain,Female,2008
2005-2010,20-24,36.115765422696114,Spain,Female,2009
2010-2015,20-24,29.149452269170578,Spain,Female,2010
2010-2015,20-24,29.17775974025974,Spain,Female,2011
2010-2015,20-24,29.3015873015873,Spain,Female,2012
2010-2015,20-24,29.17306052855925,Spain,Female,2013
2010-2015,20-24,29.36048526863085,Spain,Female,2014
2015-2020,20-24,25.638279192273924,Spain,Female,2015
2015-2020,20-24,25.433007985803016,Spain,Female,2016
2015-2020,20-24,25.532200357781754,Spain,Female,2017
2015-2020,20-24,25.778776978417266,Spain,Female,2018
2015-2020,20-24,25.5750452079566,Spain,Female,2019
2000-2005,25-29,64.24409448818898,Spain,Female,2003
2000-2005,25-29,64.45601336302896,Spain,Female,2004
2005-2010,25-29,67.17001114827202,Spain,Female,2005
2005-2010,25-29,67.15053161723559,Spain,Female,2006
2005-2010,25-29,67.47484454494064,Spain,Female,2007
2005-2010,25-29,67.25502584721424,Spain,Female,2008
2005-2010,25-29,67.45523698069046,Spain,Female,2009
2010-2015,25-29,57.41866028708134,Spain,Female,2010
2010-2015,25-29,57.91361916771753,Spain,Female,2011
2010-2015,25-29,57.645096731154105,Spain,Female,2012
2010-2015,25-29,58.207480592801694,Spain,Female,2013
2010-2015,25-29,57.812778603268946,Spain,Female,2014
2015-2020,25-29,55.037267080745345,Spain,Female,2015
2015-2020,25-29,54.99036144578313,Spain,Female,2016
2015-2020,25-29,54.72794723825227,Spain,Female,2017
2015-2020,25-29,54.86050420168067,Spain,Female,2018
2015-2020,25-29,55.39471440750213,Spain,Female,2019
2000-2005,30-34,95.75692481628039,Spain,Female,2003
2000-2005,30-34,95.99725425590334,Spain,Female,2004
2005-2010,30-34,101.91604278074867,Spain,Female,2005
2005-2010,30-34,102.3498158863756,Spain,Female,2006
2005-2010,30-34,101.88183694530444,Spain,Female,2007
2005-2010,30-34,101.9093670886076,Spain,Female,2008
2005-2010,30-34,102.12524950099801,Spain,Female,2009
2010-2015,30-34,91.5240456122955,Spain,Female,2010
2010-2015,30-34,91.68591691995947,Spain,Female,2011
2010-2015,30-34,91.16474291710388,Spain,Female,2012
