country,year,age,gender,value,pop,fertility_rate
Spain,2007,15-19,Male,3957,1191,3.322418136020151
Spain,2007,20-24,Male,24595,1433,17.163293789253316
Spain,2007,25-29,Male,79398,1864,42.59549356223176
Spain,2007,30-34,Male,174332,2073,84.0964785335263
Spain,2007,35-39,Male,136444,1976,69.0506072874494
Spain,2007,40-44,Male,47861,1850,25.87081081081081
Spain,2007,45-49,Male,12767,1677,7.612999403697078
Spain,2007,50-54,Male,3346,1404,2.383190883190883
Spain,2007,55-59,Male,1025,1242,0.8252818035426731
Spain,2007,60-64,Male,288,1113,0.2587601078167116
Spain,2007,65+,Male,119,3222,0.03693358162631906
Spain,2009,15-19,Male,3444,1189,2.896551724137931
Spain,2009,20-24,Male,22533,1374,16.399563318777293
Spain,2009,25-29,Male,71339,1775,40.19098591549296
Spain,2009,30-34,Male,169731,2138,79.38774555659495
Spain,2009,35-39,Male,145680,2077,70.1396244583534
Spain,2009,40-44,Male,52812,1901,27.781167806417674
Spain,2009,45-49,Male,14272,1759,8.113700966458214
Spain,2009,50-54,Male,3916,1500,2.6106666666666665
Spain,2009,55-59,Male,1117,1257,0.888623707239459
Spain,2009,60-64,Male,352,1168,0.3013698630136986
Spain,2009,65+,Male,85,3354,0.02534287418008348
Spain,2010,15-19,Male,2977,1184,2.514358108108108
Spain,2010,20-24,Male,20367,1339,15.21060492905153
Spain,2010,25-29,Male,65820,1722,38.22299651567944
Spain,2010,30-34,Male,164450,2140,76.84579439252336
Spain,2010,35-39,Male,147660,2121,69.61810466760961
Spain,2010,40-44,Male,54426,1929,28.214618973561432
Spain,2010,45-49,Male,14647,1789,8.187255449972051
Spain,2010,50-54,Male,3944,1539,2.562703053931124
Spain,2010,55-59,Male,1104,1269,0.8699763593380615
Spain,2010,60-64,Male,367,1181,0.3107535986452159
Spain,2010,65+,Male,97,3409,0.02845409210912291
Spain,2011,15-19,Male,2533,1173,2.1594202898550723
Spain,2011,20-24,Male,18171,1289,14.096974398758727
Spain,2011,25-29,Male,59619,1621,36.779148673658234
Spain,2011,30-34,Male,155441,2070,75.09227053140097
Spain,2011,35-39,Male,150000,2134,70.29053420805998
Spain,2011,40-44,Male,60958,1956,31.164621676891617
Spain,2011,45-49,Male,9784,1815,5.390633608815427
Spain,2011,50-54,Male,3819,1589,2.4033983637507865
Spain,2011,55-59,Male,1083,1302,0.8317972350230415
Spain,2011,60-64,Male,313,1190,0.2630252100840336
Spain,2011,65+,Male,84,3487,0.02408947519357614
Spain,2012,15-19,Male,2619,1163,2.251934651762683
Spain,2012,20-24,Male,16781,1251,13.414068745003997
Spain,2012,25-29,Male,54703,1524,35.89435695538058
Spain,2012,30-34,Male,145708,1970,73.96345177664975
Spain,2012,35-39,Male,146681,2135,68.70304449648712
Spain,2012,40-44,Male,57522,1980,29.05151515151515
Spain,2012,45-49,Male,14651,1829,8.010388190267905
Spain,2012,50-54,Male,4187,1631,2.567136725935009
Spain,2012,55-59,Male,1068,1343,0.7952345495160089
Spain,2012,60-64,Male,329,1191,0.2762384550797649
Spain,2012,65+,Male,92,3557,0.025864492549901603
Spain,2013,15-19,Male,2376,1154,2.0589254766031195
Spain,2013,20-24,Male,15288,1223,12.500408830744073
Spain,2013,25-29,Male,48689,1436,33.905988857938716
Spain,2013,30-34,Male,132325,1854,71.37270765911542
Spain,2013,35-39,Male,139743,2120,65.91650943396226
Spain,2013,40-44,Male,56906,2001,28.43878060969515
Spain,2013,45-49,Male,14741,1834,8.037622682660851
Spain,2013,50-54,Male,3910,1668,2.3441247002398082
Spain,2013,55-59,Male,1056,1389,0.7602591792656588
Spain,2013,60-64,Male,291,1189,0.2447434819175778
Spain,2013,65+,Male,106,3621,0.02927368130350732
Spain,2016,15-19,Male,2159,1138,1.8971880492091389
Spain,2016,20-24,Male,13300,1178,11.290322580645162
Spain,2016,25-29,Male,44027,1266,34.77646129541864
Spain,2016,30-34,Male,114301,1549,73.79018721755972
Spain,2016,35-39,Male,137085,1972,69.5157200811359
Spain,2016,40-44,Male,64590,2043,31.615271659324524
Spain,2016,45-49,Male,17444,1880,9.278723404255318
Spain,2016,50-54,Male,4305,1748,2.4628146453089244
Spain,2016,55-59,Male,1108,1523,0.7275114904793172
Spain,2016,60-64,Male,345,1240,0.2782258064516129
Spain,2016,65+,Male,100,3804,0.026288117770767613
Spain,2017,15-19,Male,2010,1132,1.7756183745583038
Spain,2017,20-24,Male,12376,1170,10.577777777777778
Spain,2017,25-29,Male,41691,1241,33.59468170829976
Spain,2017,30-34,Male,105004,1477,71.09275558564659
Spain,2017,35-39,Male,129475,1896,68.28850210970464
Spain,2017,40-44,Male,64027,2059,31.096163186012628
Spain,2017,45-49,Male,18134,1913,9.47935180345008
Spain,2017,50-54,Male,4545,1766,2.57361268403171
Spain,2017,55-59,Male,1190,1567,0.7594128908742821
Spain,2017,60-64,Male,367,1279,0.2869429241594996
Spain,2017,65+,Male,139,3860,0.03601036269430052
