"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",12,0,9,0,9
"2","10-19","Male",10,17,13,9,13
"3","20-29","Male",71,146.2,157,157,79
"4","30-39","Male",167,0,182,0,182
"5","40-49","Male",622,90.2000000000001,671,81,671
"6","50-59","Male",2288,3175.6,3067,3067,2311
"7","60-69","Male",6116,13678,13640,13640,6119
"8","70-79","Male",12542,27756.6,27817,27817,12496
"9","80+","Male",26138,48591.8,48759,48759,26293
"10","0-9","Female",4,0,3,0,3
"11","10-19","Female",9,57,60,60,8
"12","20-29","Female",49,0,46,0,46
"13","30-39","Female",118,18.4,110,18,110
"14","40-49","Female",331,61.4,345,64,345
"15","50-59","Female",1015,2064.4,2096,2096,1047
"16","60-69","Female",2451,7821.6,7881,7881,2350
"17","70-79","Female",6353,15184.6,15163,15163,6425
"18","80+","Female",28481,59829.8,59944,59944,28643
