"date","age","gender","COVID19_deaths","rate","deaths","child_age","nb_c","orphans"
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,0,0.00391135001979032,1
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,1,0.00312908001583225,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,2,0.00234681001187419,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,3,0.00156454000791613,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,4,0.000782270003958063,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,5,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,6,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,7,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,8,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,9,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,10,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,11,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,12,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,13,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,14,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,15,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,16,0,0
"2021-10-09","0-19","Male",138.0678,0.00121760874867669,141,17,0,0
"2021-10-09","0-19","Female",0,0,0,0,0.0192452613287805,0
"2021-10-09","0-19","Female",0,0,0,1,0.0153962090630244,0
"2021-10-09","0-19","Female",0,0,0,2,0.0115471567972683,0
"2021-10-09","0-19","Female",0,0,0,3,0.00769810453151221,0
"2021-10-09","0-19","Female",0,0,0,4,0.00384905226575611,0
"2021-10-09","0-19","Female",0,0,0,5,0,0
"2021-10-09","0-19","Female",0,0,0,6,0,0
"2021-10-09","0-19","Female",0,0,0,7,0,0
"2021-10-09","0-19","Female",0,0,0,8,0,0
"2021-10-09","0-19","Female",0,0,0,9,0,0
"2021-10-09","0-19","Female",0,0,0,10,0,0
"2021-10-09","0-19","Female",0,0,0,11,0,0
"2021-10-09","0-19","Female",0,0,0,12,0,0
"2021-10-09","0-19","Female",0,0,0,13,0,0
"2021-10-09","0-19","Female",0,0,0,14,0,0
"2021-10-09","0-19","Female",0,0,0,15,0,0
"2021-10-09","0-19","Female",0,0,0,16,0,0
"2021-10-09","0-19","Female",0,0,0,17,0,0
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,0,0.102524358728974,201
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,1,0.0990504870330352,194
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,2,0.0955766153370968,188
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,3,0.0921027436411585,181
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,4,0.0886288719452202,174
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,5,0.0851550002492818,167
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,6,0.0793788180909352,156
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,7,0.0736026359325887,144
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,8,0.0678264537742422,133
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,9,0.0620502716158956,122
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,10,0.0630652167684921,124
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,11,0.0561432985206504,110
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,12,0.0492213802728086,97
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,13,0.0422994620249669,83
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,14,0.0353775437771251,69
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,15,0.0285588789115464,56
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,16,0.0235036857910507,46
"2021-10-09","20-39","Male",1918.8468,0.0169221545577627,1962,17,0.0184484926705549,36
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,0,0.0836691785550912,123
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,1,0.085253613235249,126
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,2,0.0868380479154067,128
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,3,0.0884224825955644,130
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,4,0.0900069172757221,133
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,5,0.0915913519558798,135
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,6,0.0879580920301128,130
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,7,0.0843248321043457,124
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,8,0.0806915721785786,119
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,9,0.0770583122528116,114
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,10,0.0838966746872301,124
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,11,0.0782095362768481,115
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,12,0.072522397866466,107
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,13,0.066835259456084,98
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,14,0.0611481210457019,90
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,15,0.0546204943193,80
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,16,0.0478034832270559,70
"2021-10-09","20-39","Female",1440.1184,0.012700287561403,1473,17,0.0409864721348118,60
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,0,0.0230047510478265,326
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,1,0.026960481535526,382
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,2,0.0309162120232254,438
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,3,0.0348719425109249,494
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,4,0.0388276729986244,550
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,5,0.0427834034863238,606
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,6,0.0484032472891727,686
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,7,0.053659040534289,761
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,8,0.0592788843371378,840
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,9,0.0645346775822542,915
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,10,0.0781448332181039,1108
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,11,0.0838154433341871,1188
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,12,0.089475072939055,1268
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,13,0.0951456830551382,1349
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,14,0.100805312660006,1429
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,15,0.114181781761622,1619
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,16,0.115926031049961,1643
"2021-10-09","40-59","Male",13863.3462,0.122259727605233,14176,17,0.117670280338299,1668
"2021-10-09","40-59","Female",7544.25,0.0665321298825948,7714,0,0.00408134744596801,31
"2021-10-09","40-59","Female",7544.25,0.0665321298825948,7714,1,0.00615351241827859,47
"2021-10-09","40-59","Female",7544.25,0.0665321298825948,7714,2,0.00822567739058916,63
