age,gender,covid19_deaths,nb_orphans
00-19,female,0,0
00-19,male,141,2
20-39,female,1473,2006
20-39,male,1962,2281
40-59,female,7714,4860
40-59,male,14176,17272
60+,female,39529,98
60+,male,50955,3761
