"","age","gender","deaths.x","deaths.y","deaths"
"1","0-19","Male",81,141,60
"2","0-19","Female",0,0,0
"3","20-39","Male",794,1974,1180
"4","20-39","Female",528,1479,951
"5","40-59","Male",5900,14192,8292
"6","40-59","Female",2992,7673,4681
"7","60+","Male",30253,50633,20380
"8","60+","Female",23316,39367,16051
