age,gender,country,date,COVID19_deaths,rate,deaths,nb_c,orphans
00-19,female,Argentina,2021-10-09,0,0,0,0.057735783986341604,0
00-19,male,Argentina,2021-10-09,137.3255,0.0012224266962227374,141,0.01173405005937091,2
20-39,female,Argentina,2021-10-09,1438.78,0.012807549085867884,1479,1.3618368391122577,2014
20-39,male,Argentina,2021-10-09,1920.1961999999999,0.017092958677488553,1974,1.1625142150856222,2295
40-59,female,Argentina,2021-10-09,7466.025,0.06646011319577473,7673,0.6300783625556586,4835
40-59,male,Argentina,2021-10-09,13808.4438,0.12291825141296656,14192,1.218404751701677,17292
60+,female,Argentina,2021-10-09,38303.1504,0.34096211991505304,39367,0.0024711650912563523,97
60+,male,Argentina,2021-10-09,49264.5125,0.4385365810166265,50633,0.0738127816943052,3737
