age,gender,nb_excess,nb_covid,max_deaths,nb_orphans
0-19,Female,-217,12,12,0
0-19,Male,-405,12,12,0
20-49,Female,-542,412,412,399
20-49,Male,-797,900,900,781
50-69,Female,1815,4372,4372,273
50-69,Male,6921,11669,11669,1676
70+,Female,49603,47900,57093,0
70+,Male,53713,55529,60162,73
