Period,age,fertility_rate,country,gender,date
2000-2005,15-19,7.077,Italy,Female,2003
2000-2005,15-19,7.077,Italy,Female,2004
2005-2010,15-19,6.999,Italy,Female,2005
2005-2010,15-19,6.999,Italy,Female,2006
2005-2010,15-19,6.999,Italy,Female,2007
2005-2010,15-19,6.999,Italy,Female,2008
2005-2010,15-19,6.999,Italy,Female,2009
2010-2015,15-19,5.894,Italy,Female,2010
2010-2015,15-19,5.894,Italy,Female,2011
2010-2015,15-19,5.894,Italy,Female,2012
2010-2015,15-19,5.894,Italy,Female,2013
2010-2015,15-19,5.894,Italy,Female,2014
2015-2020,15-19,5.24,Italy,Female,2015
2015-2020,15-19,5.24,Italy,Female,2016
2015-2020,15-19,5.24,Italy,Female,2017
2015-2020,15-19,5.24,Italy,Female,2018
2015-2020,15-19,5.24,Italy,Female,2019
2000-2005,20-24,33.894,Italy,Female,2003
2000-2005,20-24,33.894,Italy,Female,2004
2005-2010,20-24,35.92,Italy,Female,2005
2005-2010,20-24,35.92,Italy,Female,2006
2005-2010,20-24,35.92,Italy,Female,2007
2005-2010,20-24,35.92,Italy,Female,2008
2005-2010,20-24,35.92,Italy,Female,2009
2010-2015,20-24,31.89,Italy,Female,2010
2010-2015,20-24,31.89,Italy,Female,2011
2010-2015,20-24,31.89,Italy,Female,2012
2010-2015,20-24,31.89,Italy,Female,2013
2010-2015,20-24,31.89,Italy,Female,2014
2015-2020,20-24,26.387,Italy,Female,2015
2015-2020,20-24,26.387,Italy,Female,2016
2015-2020,20-24,26.387,Italy,Female,2017
2015-2020,20-24,26.387,Italy,Female,2018
2015-2020,20-24,26.387,Italy,Female,2019
2000-2005,25-29,75.242,Italy,Female,2003
2000-2005,25-29,75.242,Italy,Female,2004
2005-2010,25-29,76.61,Italy,Female,2005
2005-2010,25-29,76.61,Italy,Female,2006
2005-2010,25-29,76.61,Italy,Female,2007
2005-2010,25-29,76.61,Italy,Female,2008
2005-2010,25-29,76.61,Italy,Female,2009
2010-2015,25-29,72.084,Italy,Female,2010
2010-2015,25-29,72.084,Italy,Female,2011
2010-2015,25-29,72.084,Italy,Female,2012
2010-2015,25-29,72.084,Italy,Female,2013
2010-2015,25-29,72.084,Italy,Female,2014
2015-2020,25-29,64.769,Italy,Female,2015
2015-2020,25-29,64.769,Italy,Female,2016
2015-2020,25-29,64.769,Italy,Female,2017
2015-2020,25-29,64.769,Italy,Female,2018
2015-2020,25-29,64.769,Italy,Female,2019
2000-2005,30-34,89.299,Italy,Female,2003
2000-2005,30-34,89.299,Italy,Female,2004
2005-2010,30-34,96.222,Italy,Female,2005
2005-2010,30-34,96.222,Italy,Female,2006
2005-2010,30-34,96.222,Italy,Female,2007
2005-2010,30-34,96.222,Italy,Female,2008
2005-2010,30-34,96.222,Italy,Female,2009
2010-2015,30-34,95.894,Italy,Female,2010
2010-2015,30-34,95.894,Italy,Female,2011
2010-2015,30-34,95.894,Italy,Female,2012
2010-2015,30-34,95.894,Italy,Female,2013
2010-2015,30-34,95.894,Italy,Female,2014
2015-2020,30-34,90.618,Italy,Female,2015
2015-2020,30-34,90.618,Italy,Female,2016
2015-2020,30-34,90.618,Italy,Female,2017
2015-2020,30-34,90.618,Italy,Female,2018
2015-2020,30-34,90.618,Italy,Female,2019
2000-2005,35-39,47.211,Italy,Female,2003
2000-2005,35-39,47.211,Italy,Female,2004
2005-2010,35-39,58.198,Italy,Female,2005
2005-2010,35-39,58.198,Italy,Female,2006
2005-2010,35-39,58.198,Italy,Female,2007
2005-2010,35-39,58.198,Italy,Female,2008
2005-2010,35-39,58.198,Italy,Female,2009
2010-2015,35-39,61.71,Italy,Female,2010
2010-2015,35-39,61.71,Italy,Female,2011
2010-2015,35-39,61.71,Italy,Female,2012
2010-2015,35-39,61.71,Italy,Female,2013
2010-2015,35-39,61.71,Italy,Female,2014
2015-2020,35-39,61.427,Italy,Female,2015
2015-2020,35-39,61.427,Italy,Female,2016
2015-2020,35-39,61.427,Italy,Female,2017
2015-2020,35-39,61.427,Italy,Female,2018
2015-2020,35-39,61.427,Italy,Female,2019
2000-2005,40-44,9.273,Italy,Female,2003
