Period,age,fertility_rate,country,gender,date
2000-2005,15-19,7.108298171589311,Italy,Female,2003
2000-2005,15-19,7.177888022678951,Italy,Female,2004
2005-2010,15-19,6.991446899501069,Italy,Female,2005
2005-2010,15-19,6.853988603988604,Italy,Female,2006
2005-2010,15-19,7.018518518518518,Italy,Female,2007
2005-2010,15-19,6.882310984308131,Italy,Female,2008
2005-2010,15-19,6.954220314735336,Italy,Female,2009
2010-2015,15-19,5.936063218390805,Italy,Female,2010
2010-2015,15-19,5.8589928057553955,Italy,Female,2011
2010-2015,15-19,5.966040462427745,Italy,Female,2012
2010-2015,15-19,5.909818181818181,Italy,Female,2013
2010-2015,15-19,5.882869692532943,Italy,Female,2014
2015-2020,15-19,5.343151693667157,Italy,Female,2015
2015-2020,15-19,5.276392961876833,Italy,Female,2016
2015-2020,15-19,5.3061224489795915,Italy,Female,2017
2015-2020,15-19,5.363768115942029,Italy,Female,2018
2015-2020,15-19,5.282624369142034,Italy,Female,2019
2000-2005,20-24,33.73026724673711,Italy,Female,2003
2000-2005,20-24,33.63208147676639,Italy,Female,2004
2005-2010,20-24,35.904885993485344,Italy,Female,2005
2005-2010,20-24,35.89283366206443,Italy,Female,2006
2005-2010,20-24,35.81059602649007,Italy,Female,2007
2005-2010,20-24,35.804926764314246,Italy,Female,2008
2005-2010,20-24,36.073627844712185,Italy,Female,2009
2010-2015,20-24,31.589225589225588,Italy,Female,2010
2010-2015,20-24,31.74006734006734,Italy,Female,2011
2010-2015,20-24,32.1037037037037,Italy,Female,2012
2010-2015,20-24,32.243261455525605,Italy,Female,2013
2010-2015,20-24,31.780636425186188,Italy,Female,2014
2015-2020,20-24,26.155631399317407,Italy,Female,2015
2015-2020,20-24,26.498969072164947,Italy,Female,2016
2015-2020,20-24,26.38157894736842,Italy,Female,2017
2015-2020,20-24,26.49581005586592,Italy,Female,2018
2015-2020,20-24,26.58931082981716,Italy,Female,2019
2000-2005,25-29,75.24327069578466,Italy,Female,2003
2000-2005,25-29,75.4154411764706,Italy,Female,2004
2005-2010,25-29,76.64785675529029,Italy,Female,2005
2005-2010,25-29,76.86454849498328,Italy,Female,2006
2005-2010,25-29,76.73116438356165,Italy,Female,2007
2005-2010,25-29,76.31781140861467,Italy,Female,2008
2005-2010,25-29,76.83007696862049,Italy,Female,2009
2010-2015,25-29,72.375,Italy,Female,2010
2010-2015,25-29,71.83668494820232,Italy,Female,2011
2010-2015,25-29,72.10584615384616,Italy,Female,2012
2010-2015,25-29,72.3073593073593,Italy,Female,2013
2010-2015,25-29,72.03786468032278,Italy,Female,2014
2015-2020,25-29,64.98004987531172,Italy,Female,2015
2015-2020,25-29,64.81898177247014,Italy,Female,2016
2015-2020,25-29,65.0856055802156,Italy,Female,2017
2015-2020,25-29,64.93410108765195,Italy,Female,2018
2015-2020,25-29,64.78244028405423,Italy,Female,2019
2000-2005,30-34,89.24082167832168,Italy,Female,2003
2000-2005,30-34,89.29600351339482,Italy,Female,2004
2005-2010,30-34,96.42730102267674,Italy,Female,2005
2005-2010,30-34,95.97870412324423,Italy,Female,2006
2005-2010,30-34,95.88057620817844,Italy,Female,2007
2005-2010,30-34,96.4983245572044,Italy,Female,2008
2005-2010,30-34,96.10409472126295,Italy,Female,2009
2010-2015,30-34,95.76887987835784,Italy,Female,2010
2010-2015,30-34,95.81676210307131,Italy,Female,2011
2010-2015,30-34,95.92963752665246,Italy,Female,2012
2010-2015,30-34,95.91126837234621,Italy,Female,2013
2010-2015,30-34,96.26041088284286,Italy,Female,2014
2015-2020,30-34,90.81401921989824,Italy,Female,2015
2015-2020,30-34,90.3199079401611,Italy,Female,2016
2015-2020,30-34,90.91593695271453,Italy,Female,2017
2015-2020,30-34,90.75855962219599,Italy,Female,2018
2015-2020,30-34,90.6108462455304,Italy,Female,2019
2000-2005,35-39,47.41113945578231,Italy,Female,2003
2000-2005,35-39,47.21154656552886,Italy,Female,2004
2005-2010,35-39,58.23096234309624,Italy,Female,2005
2005-2010,35-39,58.157059314954054,Italy,Female,2006
2005-2010,35-39,58.348080133555925,Italy,Female,2007
2005-2010,35-39,58.26608187134503,Italy,Female,2008
2005-2010,35-39,58.039848993288594,Italy,Female,2009
2010-2015,35-39,61.78983050847457,Italy,Female,2010
2010-2015,35-39,61.82426597582038,Italy,Female,2011
2010-2015,35-39,61.858787073926514,Italy,Female,2012
2010-2015,35-39,61.8287795992714,Italy,Female,2013
2010-2015,35-39,61.59306141584623,Italy,Female,2014
2015-2020,35-39,61.620057859209254,Italy,Female,2015
2015-2020,35-39,61.50347912524851,Italy,Female,2016
2015-2020,35-39,61.52407786885246,Italy,Female,2017
2015-2020,35-39,61.76396206533193,Italy,Female,2018
2015-2020,35-39,61.542162162162164,Italy,Female,2019
2000-2005,40-44,9.275204359673024,Italy,Female,2003
2000-2005,40-44,9.216703296703297,Italy,Female,2004
2005-2010,40-44,12.66809238665526,Italy,Female,2005
2005-2010,40-44,12.58722152164775,Italy,Female,2006
2005-2010,40-44,12.637572734829593,Italy,Female,2007
2005-2010,40-44,12.706149401568304,Italy,Female,2008
2005-2010,40-44,12.694296265900698,Italy,Female,2009
2010-2015,40-44,15.65891472868217,Italy,Female,2010
2010-2015,40-44,15.540243902439025,Italy,Female,2011
2010-2015,40-44,15.693554925010133,Italy,Female,2012
2010-2015,40-44,15.589141004862237,Italy,Female,2013
2010-2015,40-44,15.484725050916497,Italy,Female,2014
2015-2020,40-44,16.156288659793816,Italy,Female,2015
2015-2020,40-44,16.289739276703113,Italy,Female,2016
2015-2020,40-44,16.111879049676027,Italy,Female,2017
2015-2020,40-44,16.253458277554664,Italy,Female,2018
2015-2020,40-44,16.121827411167512,Italy,Female,2019
2000-2005,45-49,0.4326972666322847,Italy,Female,2003
2000-2005,45-49,0.3933601609657948,Italy,Female,2004
2005-2010,45-49,0.6469437652811736,Italy,Female,2005
2005-2010,45-49,0.6579572446555819,Italy,Female,2006
2005-2010,45-49,0.6350667280257708,Italy,Female,2007
2005-2010,45-49,0.6330806954971021,Italy,Female,2008
2005-2010,45-49,0.6863084922010398,Italy,Female,2009
2010-2015,45-49,1.139229792636479,Italy,Female,2010
2010-2015,45-49,1.1439236831190378,Italy,Female,2011
2010-2015,45-49,1.1524315488353085,Italy,Female,2012
2010-2015,45-49,1.1206477732793523,Italy,Female,2013
2010-2015,45-49,1.1259557344064386,Italy,Female,2014
2015-2020,45-49,1.3835671342685372,Italy,Female,2015
2015-2020,45-49,1.3445378151260505,Italy,Female,2016
2015-2020,45-49,1.4371497197758207,Italy,Female,2017
2015-2020,45-49,1.359839357429719,Italy,Female,2018
2015-2020,45-49,1.3981368975293642,Italy,Female,2019
