"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",4,0,7,0,7
"2","10-19","Male",8,0,8,0,8
"3","20-29","Male",38,0,42,0,42
"4","30-39","Male",138,0,146,0,146
"5","40-49","Male",724,0,726,0,726
"6","50-59","Male",2954,1874.8,2882,1905,2882
"7","60-69","Male",8715,5046.2,8707,4985,8707
"8","70-79","Male",20374,14450.6,20280,14475,20280
"9","80-89","Male",26944,26417.6,27213,26471,27213
"10","90+","Male",8211,12844.4,12968,12968,8197
"11","0-9","Female",6,0,3,0,3
"12","10-19","Female",6,0,10,0,10
"13","20-29","Female",22,0,15,0,15
"14","30-39","Female",79,0,81,0,81
"15","40-49","Female",311,0,313,0,313
"16","50-59","Female",1140,564.4,1160,597,1160
"17","60-69","Female",3232,1250.8,3284,1216,3284
"18","70-79","Female",9665,5708.6,9679,5766,9679
"19","80-89","Female",22590,19057.2,22292,18918,22292
"20","90+","Female",15645,24837.6,24730,24730,15375
