country,date,age,gender,deaths
Peru,2021/03/09,0-9,Male,93
Peru,2021/03/09,10-19,Male,82
Peru,2021/03/09,20-29,Male,321
Peru,2021/03/09,30-39,Male,971
Peru,2021/03/09,40-49,Male,2845
Peru,2021/03/09,50-59,Male,6065
Peru,2021/03/09,60-69,Male,8823
Peru,2021/03/09,70-79,Male,7809
Peru,2021/03/09,80-89,Male,4543
Peru,2021/03/09,90+,Male,898
Peru,2021/03/09,0-9,Female,76
Peru,2021/03/09,10-19,Female,69
Peru,2021/03/09,20-29,Female,180
Peru,2021/03/09,30-39,Female,468
Peru,2021/03/09,40-49,Female,1094
Peru,2021/03/09,50-59,Female,2334
Peru,2021/03/09,60-69,Female,4171
Peru,2021/03/09,70-79,Female,3923
Peru,2021/03/09,80-89,Female,2637
Peru,2021/03/09,90+,Female,761
