age,gender,deaths
0-9,Male,3
10-19,Male,3
20-29,Male,32
30-39,Male,91
40-49,Male,288
50-59,Male,1446
60-69,Male,4185
70-79,Male,9561
80-89,Male,17909
90+,Male,5918
0-9,Female,7
10-19,Female,0
20-29,Female,21
30-39,Female,51
40-49,Female,145
50-59,Female,605
60-69,Female,1825
70-79,Female,5337
80-89,Female,17583
90+,Female,11579
