age,gender,deaths,nb_c,orphans
0-9,Female,7,0,0
0-9,Male,3,0,0
10-19,Female,0,0.012096068143671812,0
10-19,Male,3,0.00154169017788735,0
20-29,Female,21,0.3108769051915361,7
20-29,Male,32,0.1368274969207653,4
30-39,Female,51,1.158759213248119,59
30-39,Male,91,0.761613873319394,69
40-49,Female,145,0.9710299341560348,141
40-49,Male,288,0.9663291875551978,278
50-59,Female,605,0.15694768886412713,95
50-59,Male,1446,0.3207692307643937,464
60-69,Female,1825,0.00217936223631117,4
60-69,Male,4185,0.035913039825058356,150
70-79,Female,5337,0,0
70-79,Male,9561,0.004149125903697033,40
80-89,Female,17583,0,0
80-89,Male,17909,7.980133702555208e-4,14
90+,Female,11579,0,0
90+,Male,5918,7.275529520975867e-4,4
