age,gender,COVID19_deaths,nb_orphans
0-19,Female,7,0
0-19,Male,6,0
20-49,Female,217,207
20-49,Male,411,351
50-69,Female,2430,99
50-69,Male,5631,614
70+,Female,34499,0
70+,Male,33388,58
