"","age","gender","deaths"
"1","0-4","Male",190
"2","0-4","Female",141
"3","10-14","Male",0
"4","10-14","Female",0
"5","15-19","Male",101
"6","15-19","Female",105
"7","20-24","Male",414
"8","20-24","Female",292
"9","25-29","Male",984
"10","25-29","Female",610
"11","30-34","Male",2013
"12","30-34","Female",1029
"13","35-39","Male",3443
"14","35-39","Female",1528
"15","40-44","Male",5866
"16","40-44","Female",2482
"17","45-49","Male",9795
"18","45-49","Female",4676
"19","5-9","Male",0
"20","5-9","Female",0
"21","50-54","Male",12586
"22","50-54","Female",6579
"23","55-59","Male",16083
"24","55-59","Female",9406
"25","60-64","Male",18343
"26","60-64","Female",11749
"27","65-69","Male",18970
"28","65-69","Female",11922
"29","70-74","Male",16998
"30","70-74","Female",11247
"31","75-79","Male",13278
"32","75-79","Female",8941
"33","80+","Male",15902
"34","80+","Female",11050
