"age","gender","deaths","child_age","nb_c","orphans"
"0-4","Male",260,0,0,0
"0-4","Male",260,1,0,0
"0-4","Male",260,2,0,0
"0-4","Male",260,3,0,0
"0-4","Male",260,4,0,0
"0-4","Male",260,5,0,0
"0-4","Male",260,6,0,0
"0-4","Male",260,7,0,0
"0-4","Male",260,8,0,0
"0-4","Male",260,9,0,0
"0-4","Male",260,10,0,0
"0-4","Male",260,11,0,0
"0-4","Male",260,12,0,0
"0-4","Male",260,13,0,0
"0-4","Male",260,14,0,0
"0-4","Male",260,15,0,0
"0-4","Male",260,16,0,0
"0-4","Male",260,17,0,0
"0-4","Female",218,0,0,0
"0-4","Female",218,1,0,0
"0-4","Female",218,2,0,0
"0-4","Female",218,3,0,0
"0-4","Female",218,4,0,0
"0-4","Female",218,5,0,0
"0-4","Female",218,6,0,0
"0-4","Female",218,7,0,0
"0-4","Female",218,8,0,0
"0-4","Female",218,9,0,0
"0-4","Female",218,10,0,0
"0-4","Female",218,11,0,0
"0-4","Female",218,12,0,0
"0-4","Female",218,13,0,0
"0-4","Female",218,14,0,0
"0-4","Female",218,15,0,0
"0-4","Female",218,16,0,0
"0-4","Female",218,17,0,0
"10-14","Male",93,0,0,0
"10-14","Male",93,1,0,0
"10-14","Male",93,2,0,0
"10-14","Male",93,3,0,0
"10-14","Male",93,4,0,0
"10-14","Male",93,5,0,0
"10-14","Male",93,6,0,0
"10-14","Male",93,7,0,0
"10-14","Male",93,8,0,0
"10-14","Male",93,9,0,0
"10-14","Male",93,10,0,0
"10-14","Male",93,11,0,0
"10-14","Male",93,12,0,0
"10-14","Male",93,13,0,0
"10-14","Male",93,14,0,0
"10-14","Male",93,15,0,0
"10-14","Male",93,16,0,0
"10-14","Male",93,17,0,0
"10-14","Female",0,0,0,0
"10-14","Female",0,1,0,0
"10-14","Female",0,2,0,0
"10-14","Female",0,3,0,0
"10-14","Female",0,4,0,0
"10-14","Female",0,5,0,0
"10-14","Female",0,6,0,0
"10-14","Female",0,7,0,0
"10-14","Female",0,8,0,0
"10-14","Female",0,9,0,0
"10-14","Female",0,10,0,0
"10-14","Female",0,11,0,0
"10-14","Female",0,12,0,0
"10-14","Female",0,13,0,0
"10-14","Female",0,14,0,0
"10-14","Female",0,15,0,0
"10-14","Female",0,16,0,0
"10-14","Female",0,17,0,0
"15-19","Male",195,0,0.021754113736494,4
"15-19","Male",195,1,0.0174053762766148,3
"15-19","Male",195,2,0.0130558525318246,3
"15-19","Male",195,3,0.00870498449682272,2
"15-19","Male",195,4,0.00435272342153068,1
"15-19","Male",195,5,0,0
"15-19","Male",195,6,0,0
"15-19","Male",195,7,0,0
"15-19","Male",195,8,0,0
"15-19","Male",195,9,0,0
"15-19","Male",195,10,0,0
"15-19","Male",195,11,0,0
"15-19","Male",195,12,0,0
"15-19","Male",195,13,0,0
"15-19","Male",195,14,0,0
"15-19","Male",195,15,0,0
"15-19","Male",195,16,0,0
"15-19","Male",195,17,0,0
"15-19","Female",221,0,0.0594065630988229,13
"15-19","Female",221,1,0.0475309450230958,11
"15-19","Female",221,2,0.0356531797450171,8
"15-19","Female",221,3,0.0237717434526991,5
"15-19","Female",221,4,0.0118865030184659,3
"15-19","Female",221,5,0,0
"15-19","Female",221,6,0,0
"15-19","Female",221,7,0,0
"15-19","Female",221,8,0,0
"15-19","Female",221,9,0,0
"15-19","Female",221,10,0,0
"15-19","Female",221,11,0,0
"15-19","Female",221,12,0,0
"15-19","Female",221,13,0,0
"15-19","Female",221,14,0,0
"15-19","Female",221,15,0,0
"15-19","Female",221,16,0,0
"15-19","Female",221,17,0,0
"20-24","Male",719,0,0.0809065176256421,58
"20-24","Male",719,1,0.069084313638146,50
"20-24","Male",719,2,0.057260398899343,41
"20-24","Male",719,3,0.0454325020004176,33
"20-24","Male",719,4,0.0335992660780919,24
"20-24","Male",719,5,0.0234720530275886,17
"20-24","Male",719,6,0.0202176893409873,15
"20-24","Male",719,7,0.015828266885044,11
"20-24","Male",719,8,0.0106324070333161,8
"20-24","Male",719,9,0.0053162135149507,4
"20-24","Male",719,10,0,0
"20-24","Male",719,11,0,0
"20-24","Male",719,12,0,0
"20-24","Male",719,13,0,0
"20-24","Male",719,14,0,0
"20-24","Male",719,15,0,0
"20-24","Male",719,16,0,0
"20-24","Male",719,17,0,0
"20-24","Female",494,0,0.116829134957569,58
"20-24","Female",494,1,0.105357243130152,52
"20-24","Female",494,2,0.0938844425929248,46
"20-24","Female",494,3,0.082407201068947,41
"20-24","Female",494,4,0.0709220465198864,35
"20-24","Female",494,5,0.060278486205661,30
"20-24","Female",494,6,0.0527006528062818,26
"20-24","Female",494,7,0.0395257456031267,20
"20-24","Female",494,8,0.026350626538019,13
"20-24","Female",494,9,0.0131753380480905,7
"20-24","Female",494,10,0,0
"20-24","Female",494,11,0,0
"20-24","Female",494,12,0,0
"20-24","Female",494,13,0,0
"20-24","Female",494,14,0,0
"20-24","Female",494,15,0,0
"20-24","Female",494,16,0,0
"20-24","Female",494,17,0,0
"25-29","Male",1856,0,0.0961784111077123,179
"25-29","Male",1856,1,0.0931351906671342,173
"25-29","Male",1856,2,0.0900930072918672,167
"25-29","Male",1856,3,0.0870486645879585,162
"25-29","Male",1856,4,0.0839975749737489,156
"25-29","Male",1856,5,0.0870085287452777,161
"25-29","Male",1856,6,0.0773198668400659,144
"25-29","Male",1856,7,0.0667004008645062,124
"25-29","Male",1856,8,0.0555152594171924,103
"25-29","Male",1856,9,0.0410482157003147,76
"25-29","Male",1856,10,0.025162264114323,47
"25-29","Male",1856,11,0.0215788108829497,40
"25-29","Male",1856,12,0.014968448359371,28
"25-29","Male",1856,13,0.0099789922999726,19
"25-29","Male",1856,14,0.00498948362279578,9
"25-29","Male",1856,15,0,0
"25-29","Male",1856,16,0,0
"25-29","Male",1856,17,0,0
"25-29","Female",1123,0,0.118742269367643,133
"25-29","Female",1123,1,0.11837382450865,133
"25-29","Female",1123,2,0.118007605099659,133
"25-29","Female",1123,3,0.117639512132549,132
"25-29","Female",1123,4,0.117262966264205,132
"25-29","Female",1123,5,0.118543861698316,133
"25-29","Female",1123,6,0.114153991719461,128
"25-29","Female",1123,7,0.102085108971398,115
"25-29","Female",1123,8,0.0900159291493316,101
"25-29","Female",1123,9,0.0779463943422913,88
"25-29","Female",1123,10,0.065845896264445,74
"25-29","Female",1123,11,0.0561303310665712,63
"25-29","Female",1123,12,0.0420979393019727,47
"25-29","Female",1123,13,0.0280653680363669,32
"25-29","Female",1123,14,0.0140326487861478,16
"25-29","Female",1123,15,0,0
"25-29","Female",1123,16,0,0
"25-29","Female",1123,17,0,0
"30-34","Male",3343,0,0.0849016847954122,284
"30-34","Male",3343,1,0.0871674733388825,291
"30-34","Male",3343,2,0.0894355584758585,299
"30-34","Male",3343,3,0.0917028953923367,307
"30-34","Male",3343,4,0.0939640965103471,314
"30-34","Male",3343,5,0.102146855520702,341
"30-34","Male",3343,6,0.101785823605013,340
"30-34","Male",3343,7,0.102605872905635,343
"30-34","Male",3343,8,0.105989403718004,354
"30-34","Male",3343,9,0.102453205628501,343
"30-34","Male",3343,10,0.0964629936019174,322
"30-34","Male",3343,11,0.0867026404627854,290
"30-34","Male",3343,12,0.0703992993638448,235
"30-34","Male",3343,13,0.0552488188613609,185
"30-34","Male",3343,14,0.0400980491307189,134
"30-34","Male",3343,15,0.0249071101132769,83
"30-34","Male",3343,16,0.0199254237005246,67
"30-34","Male",3343,17,0.0149440013432635,50
"30-34","Female",1746,0,0.0767979783739392,134
"30-34","Female",1746,1,0.0851970437822661,149
"30-34","Female",1746,2,0.0935999574070748,163
"30-34","Female",1746,3,0.102003678888295,178
"30-34","Female",1746,4,0.110401619495738,193
"30-34","Female",1746,5,0.120485075600143,210
"30-34","Female",1746,6,0.127123049594004,222
"30-34","Female",1746,7,0.126898993000533,222
"30-34","Female",1746,8,0.12667473545189,221
"30-34","Female",1746,9,0.12645009222065,221
"30-34","Female",1746,10,0.12616620693362,220
"30-34","Female",1746,11,0.119977933876164,209
"30-34","Female",1746,12,0.107524666714273,188
"30-34","Female",1746,13,0.0950711098315359,166
"30-34","Female",1746,14,0.082617057533024,144
"30-34","Female",1746,15,0.0700498798915149,122
"30-34","Female",1746,16,0.0606987931939718,106
"30-34","Female",1746,17,0.0455238925233645,79
"35-39","Male",5842,0,0.0550195036091842,321
"35-39","Male",5842,1,0.0610032484678902,356
"35-39","Male",5842,2,0.0669897409171803,391
"35-39","Male",5842,3,0.0729768042963249,426
"35-39","Male",5842,4,0.0789597273670936,461
"35-39","Male",5842,5,0.0894641820917061,523
"35-39","Male",5842,6,0.0937539011818319,548
"35-39","Male",5842,7,0.0993554347580384,580
"35-39","Male",5842,8,0.109386397001608,639
"35-39","Male",5842,9,0.112992699029554,660
"35-39","Male",5842,10,0.115040237619883,672
"35-39","Male",5842,11,0.116055381839652,678
"35-39","Male",5842,12,0.113496317024169,663
"35-39","Male",5842,13,0.109231356013401,638
"35-39","Male",5842,14,0.104965827481273,613
"35-39","Male",5842,15,0.100537869435847,587
"35-39","Male",5842,16,0.0854105842597919,499
"35-39","Male",5842,17,0.0702843206590262,411
"35-39","Female",2706,0,0.0397024596222283,107
"35-39","Female",2706,1,0.0471272095462368,128
"35-39","Female",2706,2,0.0545548086191417,148
"35-39","Female",2706,3,0.0619835461250668,168
"35-39","Female",2706,4,0.0694091830610796,188
"35-39","Female",2706,5,0.077925159082766,211
"35-39","Female",2706,6,0.0917771842955296,248
"35-39","Female",2706,7,0.100670522259726,272
"35-39","Female",2706,8,0.109563804124989,296
"35-39","Female",2706,9,0.118456814144272,321
"35-39","Female",2706,10,0.127290088685837,344
"35-39","Female",2706,11,0.132185751879027,358
"35-39","Female",2706,12,0.132247836151031,358
"35-39","Female",2706,13,0.132309675051252,358
"35-39","Female",2706,14,0.132370827400929,358
"35-39","Female",2706,15,0.132218338628439,358
"35-39","Female",2706,16,0.127491381701507,345
"35-39","Female",2706,17,0.114586399766355,310
"40-44","Male",8602,0,0.0271714532319044,234
"40-44","Male",8602,1,0.032744986388774,282
"40-44","Male",8602,2,0.0383206067091167,330
"40-44","Male",8602,3,0.0438971212350119,378
"40-44","Male",8602,4,0.0494714959165114,426
"40-44","Male",8602,5,0.0576180096961658,496
"40-44","Male",8602,6,0.0650437709073399,560
"40-44","Male",8602,7,0.0731853171159394,630
"40-44","Male",8602,8,0.0845663925460337,727
"40-44","Male",8602,9,0.0915674327052397,788
"40-44","Male",8602,10,0.0990666324199005,852
"40-44","Male",8602,11,0.106586916060813,917
"40-44","Male",8602,12,0.11291161433164,971
"40-44","Male",8602,13,0.115950328161773,997
"40-44","Male",8602,14,0.11898844082974,1024
"40-44","Male",8602,15,0.121829683606202,1048
"40-44","Male",8602,16,0.117569760741042,1011
"40-44","Male",8602,17,0.113310950697359,975
"40-44","Female",4014,0,0.00816723378045442,33
"40-44","Female",4014,1,0.0144760132777828,58
"40-44","Female",4014,2,0.0207867123720596,83
"40-44","Female",4014,3,0.027098763655799,109
"40-44","Female",4014,4,0.0334100033735795,134
"40-44","Female",4014,5,0.0402851812970262,162
"40-44","Female",4014,6,0.0517378293744981,208
"40-44","Female",4014,7,0.0595248821460295,239
"40-44","Female",4014,8,0.0673119305479331,270
"40-44","Female",4014,9,0.0750988277227723,301
"40-44","Female",4014,10,0.0828468535339962,333
"40-44","Female",4014,11,0.0954333406406586,383
"40-44","Female",4014,12,0.10460654699634,420
"40-44","Female",4014,13,0.113779625100276,457
"40-44","Female",4014,14,0.122952114334166,494
"40-44","Female",4014,15,0.131911412630763,529
"40-44","Female",4014,16,0.141623541954302,568
"40-44","Female",4014,17,0.14131599182243,567
"45-49","Male",13407,0,0.0114660598382308,154
"45-49","Male",13407,1,0.0146088887653641,196
"45-49","Male",13407,2,0.0177528190159526,238
"45-49","Male",13407,3,0.0208973115314102,280
"45-49","Male",13407,4,0.0240408723179255,322
"45-49","Male",13407,5,0.0285796977271978,383
"45-49","Male",13407,6,0.0349500848661286,469
"45-49","Male",13407,7,0.041585246988138,558
"45-49","Male",13407,8,0.050765967272356,681
"45-49","Male",13407,9,0.0571649855001692,766
"45-49","Male",13407,10,0.0635232574471404,852
"45-49","Male",13407,11,0.073576039772994,986
"45-49","Male",13407,12,0.0832397569271726,1116
"45-49","Male",13407,13,0.0911050178871117,1221
"45-49","Male",13407,14,0.0989698074173535,1327
"45-49","Male",13407,15,0.106662210700096,1430
"45-49","Male",13407,16,0.109694249750245,1471
"45-49","Male",13407,17,0.112727202962604,1511
"45-49","Female",6824,0,0.00155885026006022,11
"45-49","Female",6824,1,0.00288087211303324,20
"45-49","Female",6824,2,0.00420329323038248,29
"45-49","Female",6824,3,0.005526,38
"45-49","Female",6824,4,0.00684854758522727,47
"45-49","Female",6824,5,0.00828710605517735,57
"45-49","Female",6824,6,0.0161660870170429,110
"45-49","Female",6824,7,0.0231125054894298,158
"45-49","Female",6824,8,0.0300589669469771,205
"45-49","Female",6824,9,0.0370053844413012,253
"45-49","Female",6824,10,0.043931200214996,300
"45-49","Female",6824,11,0.0544293333035075,371
"45-49","Female",6824,12,0.0623874352584129,426
"45-49","Female",6824,13,0.0703454786701132,480
"45-49","Female",6824,14,0.0783031583898608,534
"45-49","Female",6824,15,0.0861216412243316,588
"45-49","Female",6824,16,0.104382353038405,712
"45-49","Female",6824,17,0.113768875,776
"5-9","Male",58,0,0,0
"5-9","Male",58,1,0,0
"5-9","Male",58,2,0,0
"5-9","Male",58,3,0,0
"5-9","Male",58,4,0,0
"5-9","Male",58,5,0,0
"5-9","Male",58,6,0,0
"5-9","Male",58,7,0,0
"5-9","Male",58,8,0,0
"5-9","Male",58,9,0,0
"5-9","Male",58,10,0,0
"5-9","Male",58,11,0,0
"5-9","Male",58,12,0,0
"5-9","Male",58,13,0,0
"5-9","Male",58,14,0,0
"5-9","Male",58,15,0,0
"5-9","Male",58,16,0,0
"5-9","Male",58,17,0,0
"5-9","Female",42,0,0,0
"5-9","Female",42,1,0,0
"5-9","Female",42,2,0,0
"5-9","Female",42,3,0,0
"5-9","Female",42,4,0,0
"5-9","Female",42,5,0,0
"5-9","Female",42,6,0,0
"5-9","Female",42,7,0,0
