Date,Age Range,Male,Female
22/09/2021,0-4,4.59,4.02
22/09/2021,5-9,0.99,0.75
22/09/2021,10-14,1.62,0
22/09/2021,15-19,3.39,3.95
22/09/2021,20-24,12.9,8.98
22/09/2021,25-29,34.05,20.49
22/09/2021,30-34,69.52,34.2
22/09/2021,35-39,132.8,56.3
22/09/2021,40-44,210.79,88.05
22/09/2021,45-49,349.99,159.2
22/09/2021,50-54,509.09,240.2
22/09/2021,55-59,745.66,406.05
22/09/2021,60-64,1063.62,600.24
22/09/2021,65-69,1416.42,796.7
22/09/2021,70-74,1873.89,1026.25
22/09/2021,75-79,2163.31,1189.14
22/09/2021,80+,2462.62,1225.29
