age,gender,COVID19_deaths,nb_orphans
0-14,Female,218,0
0-14,Male,260,0
15-44,Female,10311,15207
15-44,Male,20571,28772
45-64,Female,43732,9390
45-64,Male,74204,33390
65+,Female,55777,23
65+,Male,83291,2953
