"","age","gender","deaths"
"1","0-4","Male",274
"2","0-4","Female",219
"3","10-14","Male",77
"4","10-14","Female",71
"5","15-19","Male",211
"6","15-19","Female",205
"7","20-24","Male",653
"8","20-24","Female",507
"9","25-29","Male",1789
"10","25-29","Female",1001
"11","30-34","Male",3228
"12","30-34","Female",1689
"13","35-39","Male",5647
"14","35-39","Female",2497
"15","40-44","Male",8507
"16","40-44","Female",3833
"17","45-49","Male",12931
"18","45-49","Female",6569
"19","5-9","Male",67
"20","5-9","Female",38
"21","50-54","Male",16359
"22","50-54","Female",8785
"23","55-59","Male",20555
"24","55-59","Female",12267
"25","60-64","Male",22818
"26","60-64","Female",14811
"27","65-69","Male",23647
"28","65-69","Female",15315
"29","70-74","Male",20901
"30","70-74","Female",13828
"31","75-79","Male",16764
"32","75-79","Female",11117
"33","80+","Male",20600
"34","80+","Female",14442
