country,year,age,gender,value,pop,fertility_rate
Mexico,2002,15-19,Male,134921,5406,24.95763965963744
Mexico,2002,20-24,Male,485589,4813,100.8911281944733
Mexico,2002,25-29,Male,539863,4422,122.08570782451379
Mexico,2002,30-34,Male,439961,4119,106.81257586792911
Mexico,2002,35-39,Male,256848,3791,67.75204431548404
Mexico,2002,40-44,Male,110863,3273,33.8719828903147
Mexico,2002,45-49,Male,44070,2802,15.728051391862955
Mexico,2002,50-54,Male,16971,2294,7.397994768962511
Mexico,2002,55-59,Male,10998,1808,6.082964601769912
Mexico,2002,60-64,Male,1060,1364,0.7771260997067448
Mexico,2002,65+,Male,739,2953,0.2502539790044023
Mexico,2003,15-19,Male,134921,5406,24.95763965963744
Mexico,2003,20-24,Male,485589,4813,100.8911281944733
Mexico,2003,25-29,Male,539863,4422,122.08570782451379
Mexico,2003,30-34,Male,439961,4119,106.81257586792911
Mexico,2003,35-39,Male,256848,3791,67.75204431548404
Mexico,2003,40-44,Male,110863,3273,33.8719828903147
Mexico,2003,45-49,Male,44070,2802,15.728051391862955
Mexico,2003,50-54,Male,16971,2294,7.397994768962511
Mexico,2003,55-59,Male,10998,1808,6.082964601769912
Mexico,2003,60-64,Male,1060,1364,0.7771260997067448
Mexico,2003,65+,Male,739,2953,0.2502539790044023
Mexico,2004,15-19,Male,134921,5406,24.95763965963744
Mexico,2004,20-24,Male,485589,4813,100.8911281944733
Mexico,2004,25-29,Male,539863,4422,122.08570782451379
Mexico,2004,30-34,Male,439961,4119,106.81257586792911
Mexico,2004,35-39,Male,256848,3791,67.75204431548404
Mexico,2004,40-44,Male,110863,3273,33.8719828903147
Mexico,2004,45-49,Male,44070,2802,15.728051391862955
Mexico,2004,50-54,Male,16971,2294,7.397994768962511
Mexico,2004,55-59,Male,10998,1808,6.082964601769912
Mexico,2004,60-64,Male,1060,1364,0.7771260997067448
Mexico,2004,65+,Male,739,2953,0.2502539790044023
Mexico,2005,15-19,Male,134921,5406,24.95763965963744
Mexico,2005,20-24,Male,485589,4813,100.8911281944733
Mexico,2005,25-29,Male,539863,4422,122.08570782451379
Mexico,2005,30-34,Male,439961,4119,106.81257586792911
Mexico,2005,35-39,Male,256848,3791,67.75204431548404
Mexico,2005,40-44,Male,110863,3273,33.8719828903147
Mexico,2005,45-49,Male,44070,2802,15.728051391862955
Mexico,2005,50-54,Male,16971,2294,7.397994768962511
Mexico,2005,55-59,Male,10998,1808,6.082964601769912
Mexico,2005,60-64,Male,1060,1364,0.7771260997067448
Mexico,2005,65+,Male,739,2953,0.2502539790044023
Mexico,2006,15-19,Male,134921,5406,24.95763965963744
Mexico,2006,20-24,Male,485589,4813,100.8911281944733
Mexico,2006,25-29,Male,539863,4422,122.08570782451379
Mexico,2006,30-34,Male,439961,4119,106.81257586792911
Mexico,2006,35-39,Male,256848,3791,67.75204431548404
Mexico,2006,40-44,Male,110863,3273,33.8719828903147
Mexico,2006,45-49,Male,44070,2802,15.728051391862955
Mexico,2006,50-54,Male,16971,2294,7.397994768962511
Mexico,2006,55-59,Male,10998,1808,6.082964601769912
