Country_Region,who_region
Afghanistan,Eastern Mediterranean
Albania,European
Algeria,African 
Andorra,European
Angola,African 
Antigua and Barbuda,Americas
Argentina,Americas
Armenia,European
Australia,Western Pacific
Austria,European
Azerbaijan,European
Bahamas,Americas
Bahrain,Eastern Mediterranean
Bangladesh,South-East Asia
Barbados,Americas
Belarus,European
Belgium,European
Belize,Americas
Benin,African 
Bhutan,South-East Asia
Bolivia (Plurinational State of),Americas
Bosnia and Herzegovina,European
Botswana,African 
Brazil,Americas
Brunei Darussalam,Western Pacific
Bulgaria,European
Burkina Faso,African 
Myanmar,South-East Asia
Burundi,African 
Cabo Verde,African 
Cambodia,Western Pacific
Cameroon,African 
Canada,Americas
Central African Republic,African 
Chad,African 
Chile,Americas
China,Western Pacific
Colombia,Americas
Comoros,African 
Congo,African 
Democratic Republic of the Congo,African 
Costa Rica,Americas
Cote d'Ivoire,African 
Croatia,European
Cuba,Americas
Cyprus,European
Czechia,European
Denmark,European
Djibouti,Eastern Mediterranean
Dominica,Americas
Dominican Republic,Americas
Ecuador,Americas
Egypt,Eastern Mediterranean
El Salvador,Americas
Equatorial Guinea,African 
Eritrea,African 
Estonia,European
Eswatini,African 
Ethiopia,African 
Fiji,Western Pacific
Finland,European
France,European
Gabon,African 
Gambia,African 
Georgia,European
Germany,European
Ghana,African 
Greece,European
Grenada,Americas
Guatemala,Americas
Guinea,African 
Guinea-Bissau,African 
Guyana,Americas
Haiti,Americas
Honduras,Americas
Hungary,European
Iceland,European
India,South-East Asia
Indonesia,South-East Asia
I.R. Iran,Eastern Mediterranean
Iraq,Eastern Mediterranean
Ireland,European
Israel,European
Italy,European
Jamaica,Americas
Japan,Western Pacific
Jordan,Eastern Mediterranean
Kazakhstan,European
Kenya,African 
Republic of Korea,Western Pacific
Kosovo,European
Kuwait,Eastern Mediterranean
Kyrgyzstan,European
Lao People's Democratic Republic,Western Pacific
Latvia,European
Lebanon,Eastern Mediterranean
Lesotho,African 
Liberia,African 
Libya,Eastern Mediterranean
Liechtenstein,European
Lithuania,European
Luxembourg,European
Madagascar,African 
Malawi,African 
Malaysia,Western Pacific
Maldives,South-East Asia
Mali,African 
Malta,European
Marshall Islands,Western Pacific
Mauritania,African 
Mauritius,African 
Mexico,Americas
Micronesia (Federated States of),Western Pacific
Republic of Moldova,European
Monaco,European
Mongolia,Western Pacific
Montenegro,European
Morocco,Eastern Mediterranean
Mozambique,African 
Namibia,African 
Nepal,South-East Asia
Netherlands,European
New Zealand,Western Pacific
Nicaragua,Americas
Niger,African 
Nigeria,African 
North Macedonia,European
Norway,European
Oman,Eastern Mediterranean
Pakistan,Eastern Mediterranean
Panama,Americas
Papua New Guinea,Western Pacific
Paraguay,Americas
Peru,Americas
Philippines,Western Pacific
Poland,European
Portugal,European
Qatar,Eastern Mediterranean
Romania,European
Russian Federation,European
Rwanda,African 
Saint Kitts and Nevis,Americas
Saint Lucia,Americas
Saint Vincent and the Grenadines,Americas
Samoa,Western Pacific
San Marino,European
Sao Tome and Principe,African 
Saudi Arabia,Eastern Mediterranean
Senegal,African 
Serbia,European
Seychelles,African 
Sierra Leone,African 
Singapore,Western Pacific
Slovakia,European
Slovenia,European
Solomon Islands,Western Pacific
Somalia,Eastern Mediterranean
South Africa,African 
South Sudan,African 
Spain,European
Sri Lanka,South-East Asia
Sudan,Eastern Mediterranean
Suriname,Americas
Sweden,European
Switzerland,European
Syrian Arab Republic,Eastern Mediterranean
Tajikistan,European
United Republic of Tanzania,African 
Thailand,South-East Asia
Timor-Leste,South-East Asia
Togo,African 
Trinidad and Tobago,Americas
Tunisia,Eastern Mediterranean
Turkey,European
Uganda,African 
Ukraine,European
United Arab Emirates,Eastern Mediterranean
United Kingdom,European
Uruguay,Americas
US,Americas
Uzbekistan,European
Vanuatu,Western Pacific
Venezuela (Bolivarian Republic of),Americas
Viet Nam,Western Pacific
West Bank and Gaza,European
Yemen,Eastern Mediterranean
Zambia,African 
Zimbabwe,African 
England,European
