age,gender,COVID19_deaths,nb_orphans
0-19,Female,186,10
0-19,Male,220,2
20-49,Female,2456,3844
20-49,Male,5494,9673
50-69,Female,8744,1472
50-69,Male,18426,9585
70+,Female,9535,0
70+,Male,16416,595
