"","X","age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"1",1,"0-4","female",67,136,71
"2",2,"0-4","male",95,193,85
"3",3,"10-14","female",19,37,11
"4",4,"10-14","male",24,55,24
"5",5,"15-19","female",40,79,37
"6",6,"15-19","male",42,91,70
"7",7,"20-24","female",68,145,74
"8",8,"20-24","male",89,184,110
"9",9,"25-29","female",105,261,165
"10",10,"25-29","male",161,336,173
"11",11,"30-34","female",145,372,228
"12",12,"30-34","male",215,471,268
"13",13,"35-39","female",195,451,273
"14",14,"35-39","male",309,675,360
"15",15,"40-44","female",237,612,420
"16",16,"40-44","male",420,955,575
"17",17,"45-49","female",341,836,528
"18",18,"45-49","male",639,1376,719
"19",19,"5-9","female",10,21,9
"20",20,"5-9","male",15,28,12
"21",21,"50-54","female",531,1281,762
"22",22,"50-54","male",945,1960,920
"23",23,"55-59","female",689,1704,1023
"24",24,"55-59","male",1145,2470,1344
"25",25,"60-64","female",904,2103,1199
"26",26,"60-64","male",1553,2993,1396
"27",27,"65-69","female",975,2310,1339
"28",28,"65-69","male",1609,3155,1552
"29",29,"70-74","female",999,2261,1221
"30",30,"70-74","male",1451,2962,1496
"31",31,"75-79","female",764,1779,990
"32",32,"75-79","male",882,1892,1018
"33",33,"80+","female",1197,2925,1680
"34",34,"80+","male",1083,2396,1385
