0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019724746899776376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019724746899776376,0.019724250153029994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019724746899776376,0.019724250153029994,0.01972361008610086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019724746899776376,0.019724250153029994,0.01972361008610086,0.019723350962772786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019724746899776376,0.019724250153029994,0.01972361008610086,0.019723350962772786,0.01972418780301097,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07166658040252083,0.019724250153029994,0.01972361008610086,0.019723350962772786,0.01972418780301097,0.019848653049564347,0,0,0,0,0,0,0,0,0,0,0,0
0.07166658040252083,0.07166477555600897,0.01972361008610086,0.019723350962772786,0.01972418780301097,0.019848653049564347,0.027921009348914855,0,0,0,0,0,0,0,0,0,0,0
0.07166658040252083,0.07166477555600897,0.0716624499794998,0.019723350962772786,0.01972418780301097,0.019848653049564347,0.027921009348914855,0.027920943483883326,0,0,0,0,0,0,0,0,0,0
