age,gender,excess_deaths,covid_deaths,deaths
0-14,Female,-2869.4,53,53
0-14,Male,-3315.3999999999996,70,70
15-24,Female,832.4,330,832.4
15-24,Male,3404.7999999999997,496,3404.7999999999997
25-34,Female,4292.8,1338,4292.8
25-34,Male,11994.8,2300,11994.8
35-44,Female,7692.6,3318,7692.6
35-44,Male,19942.2,6181,19942.2
45-54,Female,4951.4000000000005,8877,8877
45-54,Male,17900.6,17615,17900.6
55-64,Female,24792.6,24394,24792.6
55-64,Male,51203.6,43054,51203.6
65-74,Female,63459,47096,63459
65-74,Male,103220.2,74610,103220.2
75-84,Female,77433.59999999999,66744,77433.59999999999
75-84,Male,104290.4,86465,104290.4
85+,Female,76439.6,97283,97283
85+,Male,68723.8,71980,71980
