age,gender,excess,COVID19,max_deaths,nb_orphans
0-14,Female,-2869,53,53,0
0-14,Male,-3315,70,70,0
15-44,Female,12818,4986,12818,16639
15-44,Male,35342,8977,35342,37028
45-64,Female,29744,33271,33670,5858
45-64,Male,69104,60669,69104,18233
65+,Female,217332,211123,238176,9
65+,Male,276234,233055,279491,2122
