Age,Population
0,3990.82
1,3943.85
2,3917.33
3,3908.74
4,3915.59
5,3935.35
6,3965.53
7,4003.63
8,4047.12
9,4093.52
10,4145.62
11,4206.22
12,4246.27
13,4252.64
14,4238.74
15,4230.67
16,4222.62
17,4228.53
18,4257.78
19,4303.31
20,4344.00
21,4378.49
22,4430.50
23,4507.96
24,4597.79
25,4681.79
26,4766.87
27,4815.55
28,4808.34
29,4762.78
30,4717.11
31,4665.16
32,4609.73
33,4556.57
34,4503.91
35,4445.79
36,4385.26
37,4323.49
38,4261.07
39,4200.19
40,4141.89
41,4085.36
42,4042.08
43,4017.69
44,4007.58
45,4000.99
46,3999.46
47,4004.59
48,4015.90
49,4032.86
50,4051.75
51,4068.93
52,4099.53
53,4149.29
54,4208.30
55,4260.72
56,4309.44
57,4336.84
58,4332.43
59,4302.84
60,4267.34
61,4224.70
62,4159.26
63,4065.98
64,3951.86
65,3828.03
66,3691.22
67,3556.48
68,3432.13
69,3311.17
70,3182.33
71,3052.72
72,2899.94
73,2713.27
74,2506.59
75,2303.45
76,2097.89
77,1914.39
78,1767.11
79,1644.89
80,1522.35
81,1404.51
82,1290.46
83,1177.21
84,1066.67
85,963.40
86,865.99
87,775.24
88,691.84
89,614.64
90,537.39
91,486.74
92,429.17
93,349.65
94,248.19
95,182.36
96,160.00
97,131.48
98,96.81
99,55.99
100,97.10
