age,gender,COVID19_deaths
0-4,female,67
0-4,male,95
10-14,female,19
10-14,male,24
15-19,female,40
15-19,male,42
20-24,female,68
20-24,male,89
25-29,female,105
25-29,male,161
30-34,female,145
30-34,male,215
35-39,female,195
35-39,male,309
40-44,female,237
40-44,male,420
45-49,female,341
45-49,male,639
5-9,female,10
5-9,male,15
50-54,female,531
50-54,male,945
55-59,female,689
55-59,male,1145
60-64,female,904
60-64,male,1553
65-69,female,975
65-69,male,1609
70-74,female,999
70-74,male,1451
75-79,female,764
75-79,male,882
80+,female,1197
80+,male,1083
