age,gender,COVID19_deaths
0-4,female,153
0-4,male,220
10-14,female,47
10-14,male,61
15-19,female,92
15-19,male,101
20-24,female,169
20-24,male,203
25-29,female,293
25-29,male,378
30-34,female,429
30-34,male,513
35-39,female,517
35-39,male,732
40-44,female,707
40-44,male,1052
45-49,female,927
45-49,male,1524
5-9,female,25
5-9,male,31
50-54,female,1435
50-54,male,2145
55-59,female,1911
55-59,male,2695
60-64,female,2309
60-64,male,3209
65-69,female,2541
65-69,male,3422
70-74,female,2478
70-74,male,3189
75-79,female,1961
75-79,male,2107
80+,female,3296
80+,male,2675
