"age","gender","max_deaths","nb_orphans"
"0-14","female",225,0
"0-14","male",312,0
"15-44","female",2207,4002
"15-44","male",2979,3773
"45-64","female",6582,2901
"45-64","male",9573,5170
"65+","female",10276,8
"65+","male",11393,481
