"gender","child_age","orphans"
"Female",0,3
"Female",1,3
"Female",2,3
"Female",3,4
"Female",4,4
"Female",5,4
"Female",6,5
"Female",7,7
"Female",8,7
"Female",9,9
"Female",10,9
"Female",11,9
"Female",12,10
"Female",13,12
"Female",14,13
"Female",15,15
"Female",16,15
"Female",17,16
"Male",0,7
"Male",1,7
"Male",2,9
"Male",3,11
"Male",4,12
"Male",5,12
"Male",6,15
"Male",7,16
"Male",8,20
"Male",9,21
"Male",10,23
"Male",11,27
"Male",12,31
"Male",13,33
"Male",14,37
"Male",15,41
"Male",16,47
"Male",17,53
