"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",0,4,2
"2",2,"10-19","Male",6,8,0
"3",3,"20-29","Male",18,23,2
"4",4,"30-39","Male",67,99,29
"5",5,"40-49","Male",183,250,76
"6",6,"50-59","Male",238,355,141
"7",7,"60-69","Male",195,347,165
"8",8,"70+","Male",171,415,239
"9",9,"0-9","Female",0,10,13
"10",10,"10-19","Female",0,12,11
"11",11,"20-29","Female",18,39,24
"12",12,"30-39","Female",37,72,38
"13",13,"40-49","Female",61,86,32
"14",14,"50-59","Female",43,140,110
"15",15,"60-69","Female",73,183,120
"16",16,"70+","Female",37,244,254
