age,gender,deaths,nb_c,orphans
0-9,Female,0,0,0
0-9,Male,0,0,0
10-19,Female,0,0.1601089339247047,0
10-19,Male,6,0.01761617075884525,0
20-29,Female,18,1.7532872468894007,32
20-29,Male,18,1.0053362312144074,18
30-39,Female,37,3.449911372160027,128
30-39,Male,67,3.330696944229877,223
40-49,Female,61,2.6729943827825937,163
40-49,Male,183,3.988283418967762,730
50-59,Female,43,0.9459562466743688,41
50-59,Male,238,2.708946310077522,645
60-69,Female,73,0.09701379721379022,7
60-69,Male,195,1.1426036894315768,223
70+,Female,37,0,0
70+,Male,171,0.1372422002617292,23
