"","age","gender","deaths"
"1","0-9","Male",0
"2","10-19","Male",5
"3","20-29","Male",22
"4","30-39","Male",56
"5","40-49","Male",188
"6","50-59","Male",239
"7","60-69","Male",207
"8","70+","Male",171
"9","0-9","Female",0
"10","10-19","Female",0
"11","20-29","Female",24
"12","30-39","Female",33
"13","40-49","Female",73
"14","50-59","Female",51
"15","60-69","Female",76
"16","70+","Female",34
