age,gender,country,date,COVID19_deaths,rate,deaths,nb_c,orphans
00-19,female,Argentina,2021-04-30,0,0,0,0.057735783986341604,0
00-19,male,Argentina,2021-04-30,74.23,0.001267194872457357,81,0.01173405005937091,1
20-39,female,Argentina,2021-04-30,484.5008,0.008271008075730666,528,1.3618368391122577,719
20-39,male,Argentina,2021-04-30,728.676,0.012439370751485072,794,1.1625142150856222,923
40-59,female,Argentina,2021-04-30,2744.175,0.04684634903847053,2992,0.6300783625556586,1885
40-59,male,Argentina,2021-04-30,5411.317800000001,0.09237766629930251,5900,1.218404751701677,7189
60+,female,Argentina,2021-04-30,21386.2896,0.3650895395663222,23316,0.0024711650912563523,58
60+,male,Argentina,2021-04-30,27749.015,0.4737088713962317,30253,0.0738127816943052,2233
