"","country","date","age","gender","COVID19_deaths","rate","deaths"
"1","Argentina","2021-04-30","0-19","Male",74.23,0.00126719487245736,90
"2","Argentina","2021-04-30","0-19","Female",0,0,0
"3","Argentina","2021-04-30","20-39","Male",728.676,0.0124393707514851,748
"4","Argentina","2021-04-30","20-39","Female",484.5008,0.00827100807573067,527
"5","Argentina","2021-04-30","40-59","Male",5411.3178,0.0923776662993025,5783
"6","Argentina","2021-04-30","40-59","Female",2744.175,0.0468463490384705,3008
"7","Argentina","2021-04-30","60+","Male",27749.015,0.473708871396232,30125
"8","Argentina","2021-04-30","60+","Female",21386.2896,0.365089539566322,23072
