"category","gender","orphans","orphans_percent","country"
"[0-5)","Female",348,2.67609966164257,"Argentina"
"[0-5)","Male",1445,11.1119655490618,"Argentina"
"[5-10)","Female",542,4.16794832359274,"Argentina"
"[5-10)","Male",2212,17.0101507228545,"Argentina"
"[10-18)","Female",1749,13.4497077822209,"Argentina"
"[10-18)","Male",6708,51.5841279606275,"Argentina"
"[0-5)","Female",355,2.73350273350273,"Argentina"
"[0-5)","Male",1364,10.5028105028105,"Argentina"
"[5-10)","Female",526,4.05020405020405,"Argentina"
"[5-10)","Male",2209,17.009317009317,"Argentina"
"[10-18)","Female",1746,13.4442134442134,"Argentina"
"[10-18)","Male",6787,52.2599522599523,"Argentina"
"[0-5)","Female",3790.065,3.34484018049648,"Brazil"
"[0-5)","Male",17694.09,15.6155377781967,"Brazil"
"[5-10)","Female",5740.5,5.06615455305913,"Brazil"
"[5-10)","Male",21825.915,19.2619908809218,"Brazil"
"[10-18)","Female",16483.245,14.5469326201444,"Brazil"
"[10-18)","Male",47776.98,42.1645439871815,"Brazil"
"[0-5)","Female",3783.39,3.33686565406806,"Brazil"
"[0-5)","Male",18127.965,15.9884610855999,"Brazil"
"[5-10)","Female",5697.78,5.02531496526551,"Brazil"
"[5-10)","Male",22466.715,19.8151418815495,"Brazil"
"[10-18)","Female",16335.06,14.407158836689,"Brazil"
"[10-18)","Male",46970.64,41.427057576828,"Brazil"
"[0-5)","Female",754.600808,2.52582063605686,"Colombia"
"[0-5)","Male",3392.648572,11.3559668677779,"Colombia"
"[5-10)","Female",1130.37368,3.7836179568463,"Colombia"
"[5-10)","Male",5097.374284,17.0620717864812,"Colombia"
"[10-18)","Female",3337.65742,11.1718989671746,"Colombia"
"[10-18)","Male",16162.816092,54.1006237856632,"Colombia"
"[0-5)","Female",791.261576,2.67520528843671,"Colombia"
"[0-5)","Male",3291.83146,11.1294737385736,"Colombia"
"[5-10)","Female",1147.176532,3.87853121933585,"Colombia"
"[5-10)","Male",5376.91264,18.1790011878325,"Colombia"
"[10-18)","Female",3490.41062,11.8008573051697,"Colombia"
"[10-18)","Male",15480.009288,52.3369312606518,"Colombia"
"[0-5)","Female",341,4.03502544077624,"England & Wales"
"[0-5)","Male",819,9.69116080937167,"England & Wales"
"[5-10)","Female",564,6.67376641817536,"England & Wales"
"[5-10)","Male",1382,16.3530943083659,"England & Wales"
"[10-18)","Female",1459,17.2642290853153,"England & Wales"
"[10-18)","Male",3886,45.9827239379955,"England & Wales"
"[0-5)","Female",351,4.09472701819879,"England & Wales"
"[0-5)","Male",837,9.76434904339711,"England & Wales"
"[5-10)","Female",565,6.59122725151657,"England & Wales"
"[5-10)","Male",1413,16.4839010732618,"England & Wales"
"[10-18)","Female",1436,16.7522165188987,"England & Wales"
"[10-18)","Male",3970,46.313579094727,"England & Wales"
"[0-5)","Female",141,3.3886085075703,"France"
"[0-5)","Male",334,8.02691660658495,"France"
"[5-10)","Female",250,6.00817111271329,"France"
"[5-10)","Male",607,14.5878394616679,"France"
"[10-18)","Female",746,17.9283826003365,"France"
"[10-18)","Male",2083,50.0600817111271,"France"
"[0-5)","Female",123,3.04908279623203,"France"
"[0-5)","Male",315,7.80862667327714,"France"
"[5-10)","Female",225,5.57759048091225,"France"
"[5-10)","Male",596,14.7744174516609,"France"
"[10-18)","Female",714,17.6995537927615,"France"
"[10-18)","Male",2061,51.0907288051562,"France"
"[0-5)","Female",52,3.32693538067818,"Germany"
"[0-5)","Male",144,9.21305182341651,"Germany"
"[5-10)","Female",77,4.92642354446577,"Germany"
"[5-10)","Male",242,15.4830454254639,"Germany"
"[10-18)","Female",233,14.9072296865003,"Germany"
"[10-18)","Male",815,52.1433141394754,"Germany"
"[0-5)","Female",46,2.99284320104099,"Germany"
"[0-5)","Male",144,9.36890045543266,"Germany"
"[5-10)","Female",74,4.8145738451529,"Germany"
"[5-10)","Male",240,15.6148340923878,"Germany"
"[10-18)","Female",232,15.0943396226415,"Germany"
"[10-18)","Male",801,52.1145087833442,"Germany"
"[0-5)","Female",23323.771117882,2.62757215467634,"India"
"[0-5)","Male",99456.455623248,11.2044065291865,"India"
"[5-10)","Female",36739.659915982,4.13895792749827,"India"
"[5-10)","Male",150595.836182524,16.9655851861803,"India"
"[10-18)","Female",134784.962791578,15.1843890642843,"India"
"[10-18)","Male",442754.143423518,49.8790891381743,"India"
"[0-5)","Female",23900.15745143,2.70127594572738,"India"
"[0-5)","Male",99019.197025384,11.1914817144398,"India"
"[5-10)","Female",37077.541559786,4.19062808877707,"India"
"[5-10)","Male",149641.817423548,16.9130200377392,"India"
"[10-18)","Female",135500.47686081,15.3147183035313,"India"
"[10-18)","Male",439633.707066034,49.6888759097852,"India"
"[0-5)","Female",1450.199756,3.61390405056018,"Iran (Islamic Republic of)"
"[0-5)","Male",5247.463664,13.0767020970985,"Iran (Islamic Republic of)"
"[5-10)","Female",2045.035268,5.09623671358805,"Iran (Islamic Republic of)"
"[5-10)","Male",7223.332012,18.0005745475438,"Iran (Islamic Republic of)"
"[10-18)","Female",5275.130432,13.1456478023556,"Iran (Islamic Republic of)"
"[10-18)","Male",18887.180288,47.0669347888538,"Iran (Islamic Republic of)"
"[0-5)","Female",1517.061112,3.77791812596888,"Iran (Islamic Republic of)"
"[0-5)","Male",5222.10246,13.0045357983579,"Iran (Islamic Republic of)"
"[5-10)","Female",2104.979932,5.24200493770454,"Iran (Islamic Republic of)"
"[5-10)","Male",7200.276372,17.9307573060803,"Iran (Islamic Republic of)"
"[10-18)","Female",5288.963816,13.1710397887122,"Iran (Islamic Republic of)"
"[10-18)","Male",18822.624496,46.8737440431762,"Iran (Islamic Republic of)"
"[0-5)","Female",79,2.45646766169154,"Italy"
"[0-5)","Male",246,7.64925373134328,"Italy"
"[5-10)","Female",148,4.60199004975124,"Italy"
"[5-10)","Male",478,14.863184079602,"Italy"
"[10-18)","Female",485,15.0808457711443,"Italy"
"[10-18)","Male",1780,55.3482587064677,"Italy"
"[0-5)","Female",67,2.10758100031456,"Italy"
"[0-5)","Male",240,7.54954388172381,"Italy"
"[5-10)","Female",129,4.05787983642655,"Italy"
"[5-10)","Male",481,15.1305441962881,"Italy"
"[10-18)","Female",469,14.753067002202,"Italy"
"[10-18)","Male",1793,56.401384083045,"Italy"
"[0-5)","Female",142,3.28627632492479,"Kenya"
"[0-5)","Male",805,18.6299467715807,"Kenya"
"[5-10)","Female",204,4.72112936820181,"Kenya"
"[5-10)","Male",947,21.9162230965054,"Kenya"
"[10-18)","Female",436,10.0902568849803,"Kenya"
