"category","gender","li_raw","ui_raw","li_percent","ui_percent","raw","percent","country"
"[0-5)","Female",901,1015,2.99581704924015,3.35734474733022,955,3.15452203210676,"Argentina"
"[0-5)","Male",3172.975,3511.1,10.5609473461283,11.5786766183114,3348,11.058994516747,"Argentina"
"[5-10)","Female",1396,1533.025,4.6227083138589,5.07711172373454,1467,4.84574222104776,"Argentina"
"[5-10)","Male",4843.975,5273,16.177431605396,17.3131788890957,5077,16.7701658188545,"Argentina"
"[10-18)","Female",4374.95,4707.075,14.5292586853961,15.5764132726963,4540,14.9963665191253,"Argentina"
"[10-18)","Male",14363.95,15288.15,48.2971970110149,49.9380491947893,14887,49.1742088921186,"Argentina"
"[0-5)","Female",5440.091625,5752.615125,3.19629003639564,3.39138538045039,5593.65,3.29213580256614,"Brazil"
"[0-5)","Male",25487.786625,27595.818375,15.0811158946142,16.1781994257326,26566.5,15.635680780684,"Brazil"
"[5-10)","Female",8299.594875,8681.57175,4.87395162282116,5.12449096954816,8487.93,4.99556072379845,"Brazil"
"[5-10)","Male",32489.861625,34399.178625,19.2480273604615,20.1212597754539,33448.425,19.6860292442231,"Brazil"
"[10-18)","Female",23967.221625,24824.4585,14.0989496773572,14.65177088904,24385.11,14.3518263889435,"Brazil"
"[10-18)","Male",70067.27475,72764.3085,41.4528914377288,42.5475218651716,71427.84,42.0387670597849,"Brazil"
"[0-5)","Female",1452.6447437,1629.876644,2.62814324305575,2.95519680902662,1541.279788,2.78729281767956,"Colombia"
"[0-5)","Male",5662.5229357,6235.4238123,10.3031432481297,11.2673346892874,5969.595056,10.7955801104972,"Colombia"
"[5-10)","Female",2410.2927428,2647.2511443,4.36411627928983,4.80590333718843,2537.230652,4.58839779005525,"Colombia"
"[5-10)","Male",8726.5993745,9565.6345138,16.0110056092055,17.1394498481019,9185.049916,16.6104972375691,"Colombia"
"[10-18)","Female",8077.4364628,8673.4412609,14.6615414612849,15.761578987403,8380.040552,15.1546961325967,"Colombia"
"[10-18)","Male",26673.4200893,28493.1307726,49.1577092549909,50.9739864196057,27683.462436,50.0635359116022,"Colombia"
"[0-5)","Female",411,459,3.95889836475061,4.36550054520834,434,4.16306954436451,"England & Wales"
"[0-5)","Male",1025.975,1092.025,9.91801357935949,10.3921141492263,1061,10.1774580335731,"England & Wales"
"[5-10)","Female",658,720,6.34855714075196,6.85679939027031,686,6.58033573141487,"England & Wales"
"[5-10)","Male",1721,1809,16.6555377244258,17.1979524768325,1765,16.9304556354916,"England & Wales"
"[10-18)","Female",1653,1770,15.9266421228817,16.8659712647573,1709,16.3932853717026,"England & Wales"
"[10-18)","Male",4683.95,4853.05,45.1829597203377,46.2695467740557,4770,45.7553956834532,"England & Wales"
"[0-5)","Female",158,186,2.98677586458485,3.47910835411381,171,3.22702396678619,"France"
"[0-5)","Male",423,466,8.07668120183606,8.68242804709884,444,8.37893942253255,"France"
"[5-10)","Female",280,316.025,5.31443961249769,5.92887408708665,297,5.60483110020759,"France"
"[5-10)","Male",773,831.025,14.7927885913132,15.4362922151446,804,15.1726740894508,"France"
"[10-18)","Female",887,979.025,16.8913275818494,18.3117844281093,935,17.6448386488017,"France"
"[10-18)","Male",2586.975,2717.025,49.2735477231496,50.8480070408586,2648,49.9716927722212,"France"
"[0-5)","Female",71.975,91.025,3.07924696824838,3.8265306122449,81,3.43220338983051,"Germany"
"[0-5)","Male",220,249,9.47806715454154,10.4646541379586,237,10.0423728813559,"Germany"
"[5-10)","Female",110,134,4.74169899953969,5.59058427910887,123,5.21186440677966,"Germany"
"[5-10)","Male",362,397.025,15.7161501225216,16.560482646461,380,16.1016949152542,"Germany"
"[10-18)","Female",331,377,14.1564306506835,15.8093010777456,355,15.0423728813559,"Germany"
"[10-18)","Male",1145.975,1223,49.2662830528106,51.3325550028054,1184,50.1694915254237,"Germany"
"[0-5)","Female",50195.299495706,52143.3362376671,2.62023610839141,2.71766821870116,51129.44286387,2.66701915899477,"India"
"[0-5)","Male",212537.243205737,217327.957718584,11.1069126106033,11.3204806695968,214972.227022592,11.2134030024052,"India"
"[5-10)","Female",78646.6730006989,81022.030645118,4.10096204148253,4.22476174546915,79759.943328556,4.1604462138177,"India"
"[5-10)","Male",322487.905177721,329117.341783063,16.8925470372994,17.1261003879838,326105.47474789,17.0103466865721,"India"
"[10-18)","Female",287735.535900554,294503.851799195,15.0192494188952,15.3484495531416,290945.908401462,15.1763498382682,"India"
"[10-18)","Male",947141.376870278,960897.880178418,49.5476693489437,49.9871356519718,954187.699797902,49.7724350999419,"India"
"[0-5)","Female",2519.9238129,2709.0953391,3.55089992869552,3.80406971136464,2619.120704,3.68066355624676,"Iran (Islamic Republic of)"
"[0-5)","Male",9176.14472,9535.8703431,12.9801689471803,13.3230169484797,9358.284276,13.1512441679627,"Iran (Islamic Republic of)"
"[5-10)","Female",3564.401944,3771.902704,5.02279558085311,5.29246152615727,3668.152324,5.15487299118714,"Iran (Islamic Republic of)"
"[5-10)","Male",12648.2088258,13021.825472,17.8917798966681,18.1793050185671,12837.380352,18.0404354587869,"Iran (Islamic Republic of)"
"[10-18)","Female",9219.8927969,9589.0135933,12.9996051832074,13.4570118952783,9415.923376,13.232244686366,"Iran (Islamic Republic of)"
"[10-18)","Male",32900.2830018,33622.039812,46.4232473286062,47.054039351275,33260.066264,46.7405391394505,"Iran (Islamic Republic of)"
"[0-5)","Female",79,98,2.09579367698254,2.56071805702218,86,2.27272727272727,"Italy"
"[0-5)","Male",282,307,7.51265515184217,8.03907812390321,295,7.79598308668076,"Italy"
