age,gender,covid19_deaths,nb_orphans
00-19,female,0,0
00-19,male,68,1
20-39,female,456,621
20-39,male,695,808
40-59,female,2595,1635
40-59,male,5167,6295
60+,female,20418,50
60+,male,26459,1953
