country,date,age,gender,COVID19_deaths,rate,deaths
Argentina,2021-03-31,0-19,Male,65.3224,0.0012214358932702383,68
Argentina,2021-03-31,0-19,Female,0,0,0
Argentina,2021-03-31,20-39,Male,665.2542,0.012439306547658653,695
Argentina,2021-03-31,20-39,Female,436.31839999999994,0.0081585329787981,456
Argentina,2021-03-31,40-59,Male,4947.0984,0.09250369786321026,5167
Argentina,2021-03-31,40-59,Female,2484.3,0.04645287358779305,2595
Argentina,2021-03-31,60+,Male,25333.0175,0.4736913655858186,26459
Argentina,2021-03-31,60+,Female,19548.696,0.36553278754345114,20418
