"","age","gender","date","deaths"
"1","0-4","female","2021-04-30",42
"2","0-4","male","2021-04-30",43
"3","5-9","female","2021-04-30",15
"4","5-9","male","2021-04-30",20
"5","10-14","female","2021-04-30",9
"6","10-14","male","2021-04-30",12
"7","15-19","female","2021-04-30",40
"8","15-19","male","2021-04-30",55
"9","20-24","female","2021-04-30",134
"10","20-24","male","2021-04-30",150
"11","25-29","female","2021-04-30",204
"12","25-29","male","2021-04-30",287
"13","30-34","female","2021-04-30",268
"14","30-34","male","2021-04-30",516
"15","35-39","female","2021-04-30",408
"16","35-39","male","2021-04-30",861
"17","40-44","female","2021-04-30",537
"18","40-44","male","2021-04-30",1406
"19","45-49","female","2021-04-30",739
"20","45-49","male","2021-04-30",1846
"21","50-54","female","2021-04-30",1168
"22","50-54","male","2021-04-30",2687
"23","55-59","female","2021-04-30",1870
"24","55-59","male","2021-04-30",3930
"25","60-64","female","2021-04-30",2567
"26","60-64","male","2021-04-30",5020
"27","65-69","female","2021-04-30",3143
"28","65-69","male","2021-04-30",6091
"29","70-74","female","2021-04-30",3288
"30","70-74","male","2021-04-30",6659
"31","75-79","female","2021-04-30",3399
"32","75-79","male","2021-04-30",6085
"33","80+","female","2021-04-30",8540
"34","80+","male","2021-04-30",11740
