gender,child_age,orphans
Female,0,11
Female,1,12
Female,2,12
Female,3,12
Female,4,13
Female,5,13
Female,6,15
Female,7,15
Female,8,15
Female,9,16
Female,10,20
Female,11,21
Female,12,23
Female,13,24
Female,14,25
Female,15,27
Female,16,29
Female,17,31
Male,0,27
Male,1,29
Male,2,32
Male,3,34
Male,4,36
Male,5,37
Male,6,40
Male,7,42
Male,8,46
Male,9,47
Male,10,58
Male,11,59
Male,12,64
Male,13,65
Male,14,69
Male,15,72
Male,16,79
Male,17,82
